begin{nbTrucks}
76
end{nbTrucks}
begin{nbDocks}
22
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
19
end{nbResourcePersonel}
begin{nbResourceEquipment}
6
end{nbResourceEquipment}
begin{nbResourceVehicule}
8
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	11	16	2	7	2	2	0	2	
2	10	15	1	8	2	3	2	1	
3	11	16	1	5	3	4	2	1	
4	9	16	2	8	3	2	1	2	
5	2	9	2	7	2	2	1	3	
6	11	16	2	9	2	4	2	1	
7	9	16	1	7	3	4	1	1	
8	5	11	2	7	2	2	2	1	
9	0	7	2	9	2	2	2	3	
10	11	16	1	7	2	3	0	1	
11	0	7	1	8	3	4	0	3	
12	9	16	2	6	2	4	1	2	
13	5	11	2	8	2	3	0	3	
14	1	9	1	9	3	2	1	1	
15	7	16	2	8	3	4	1	3	
16	6	14	1	6	3	4	1	2	
17	7	12	1	9	2	2	2	3	
18	2	11	2	5	3	2	2	2	
19	9	14	1	7	2	2	1	3	
20	9	16	1	5	3	2	0	2	
21	8	16	2	5	3	2	2	3	
22	3	9	2	7	2	3	1	2	
23	5	13	1	9	3	2	1	2	
24	9	16	1	9	3	4	1	3	
25	4	11	2	9	2	4	1	2	
26	2	10	1	9	3	2	0	2	
27	4	12	1	5	3	3	1	3	
28	5	14	2	9	3	3	1	3	
29	1	6	1	9	2	3	1	1	
30	0	8	2	7	3	4	2	3	
31	11	16	1	9	2	3	1	1	
32	4	12	1	8	3	3	0	2	
33	0	6	1	9	2	4	2	3	
34	7	13	1	5	2	3	0	3	
35	5	14	2	5	3	3	2	2	
36	5	13	1	9	3	2	0	1	
37	3	12	2	8	3	4	1	2	
38	0	5	1	6	2	2	0	3	
39	9	16	2	9	2	3	1	3	
40	0	5	1	9	2	4	1	3	
41	7	14	1	9	3	3	2	1	
42	8	13	1	5	2	2	0	1	
43	8	16	2	9	3	3	2	2	
44	11	16	2	5	2	3	2	2	
45	4	10	2	9	2	4	1	2	
46	9	15	1	8	2	4	2	3	
47	5	11	2	9	2	2	0	3	
48	7	13	1	7	2	2	1	2	
49	7	13	2	7	2	3	0	1	
50	4	10	1	7	2	4	2	3	
51	3	10	2	9	2	4	0	3	
52	9	16	2	6	2	4	0	3	
53	9	16	2	5	3	3	1	2	
54	7	15	2	9	3	2	2	3	
55	8	15	2	9	2	2	2	3	
56	10	16	1	7	2	2	2	2	
57	0	7	1	6	3	3	2	2	
58	9	14	1	7	2	3	2	1	
59	0	6	2	7	2	3	1	1	
60	0	6	2	6	2	3	1	2	
61	9	16	2	5	2	2	2	2	
62	6	15	2	8	3	2	1	1	
63	3	9	1	5	2	3	0	2	
64	6	12	1	9	2	3	2	1	
65	11	16	2	8	3	2	0	3	
66	11	16	2	8	3	2	0	2	
67	7	14	1	7	3	2	1	1	
68	11	16	1	8	2	3	0	1	
69	5	14	2	8	3	2	2	3	
70	8	16	2	7	3	3	1	3	
71	6	15	2	9	3	4	1	3	
72	2	9	1	6	3	2	0	1	
73	2	11	2	8	3	3	0	1	
74	7	15	2	6	3	4	1	2	
75	6	12	1	6	2	4	2	3	
76	7	15	2	7	3	4	1	3	
end{Tasks}
