begin{nbTrucks}
189
end{nbTrucks}
begin{nbDocks}
38
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
32
end{nbResourcePersonel}
begin{nbResourceEquipment}
10
end{nbResourceEquipment}
begin{nbResourceVehicule}
13
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	0	8	2	9	3	3	2	2	
2	3	12	2	5	3	4	1	1	
3	7	12	1	8	2	4	0	2	
4	6	13	2	8	2	2	2	2	
5	10	15	1	8	2	2	2	2	
6	10	16	2	8	2	3	1	3	
7	7	13	2	5	2	2	1	2	
8	1	9	1	7	3	2	0	2	
9	1	7	1	8	2	4	1	3	
10	8	16	2	7	3	2	2	2	
11	6	12	1	8	2	3	0	1	
12	3	11	1	5	3	2	1	3	
13	5	12	1	8	3	4	0	2	
14	11	16	1	9	2	4	1	2	
15	1	8	2	5	2	2	0	1	
16	8	16	1	9	3	2	1	2	
17	10	16	1	8	2	3	1	1	
18	9	15	2	5	2	4	2	2	
19	10	16	1	7	3	2	1	2	
20	8	16	1	7	3	4	2	2	
21	2	7	1	6	2	3	1	1	
22	9	15	1	5	2	3	0	3	
23	0	7	1	9	3	2	0	3	
24	1	8	2	6	2	3	0	1	
25	5	11	1	6	2	2	1	3	
26	9	16	2	8	2	2	1	3	
27	1	6	1	9	2	2	1	3	
28	4	11	1	8	3	4	1	3	
29	9	16	2	6	2	2	2	3	
30	1	9	1	9	3	2	1	3	
31	0	7	2	9	2	3	1	1	
32	11	16	2	8	2	2	0	3	
33	3	10	1	6	3	2	2	2	
34	6	12	1	7	2	2	0	1	
35	7	15	1	8	3	3	1	3	
36	8	16	2	8	3	3	1	2	
37	2	11	2	6	3	2	1	1	
38	7	13	2	8	2	2	0	2	
39	9	14	1	6	2	3	1	1	
40	9	16	2	8	3	4	0	3	
41	7	13	2	6	2	3	1	2	
42	5	10	1	8	2	3	0	2	
43	11	16	2	7	3	4	1	1	
44	3	11	1	9	3	2	2	1	
45	10	16	1	5	3	2	2	1	
46	9	16	1	7	3	3	0	3	
47	2	11	2	8	3	4	2	1	
48	9	16	1	9	3	3	1	3	
49	5	13	1	5	3	4	0	1	
50	5	12	2	5	2	2	2	3	
51	8	14	2	9	2	4	2	1	
52	10	16	1	7	2	4	2	3	
53	3	9	1	6	2	4	1	3	
54	1	6	1	5	2	2	2	2	
55	3	8	1	6	2	3	1	2	
56	9	15	1	7	2	3	0	2	
57	5	11	1	6	2	3	1	3	
58	9	16	2	7	3	4	1	2	
59	3	10	2	9	2	2	0	1	
60	10	16	1	5	2	2	1	2	
61	9	15	1	8	2	2	1	3	
62	2	10	2	8	3	4	2	3	
63	0	8	2	6	3	3	1	3	
64	8	15	1	5	3	4	2	3	
65	3	9	2	7	2	4	1	1	
66	10	16	1	5	2	3	1	2	
67	0	7	2	7	2	2	1	2	
68	10	16	2	7	3	4	1	2	
69	5	12	1	9	3	3	0	1	
70	8	16	2	6	3	4	2	1	
71	5	11	1	8	2	2	0	3	
72	10	16	2	5	3	3	2	2	
73	4	12	1	8	3	3	0	2	
74	7	14	2	6	2	2	0	3	
