begin{nbTrucks}
184
end{nbTrucks}
begin{nbDocks}
48
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
40
end{nbResourcePersonel}
begin{nbResourceEquipment}
12
end{nbResourceEquipment}
begin{nbResourceVehicule}
16
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	8	14	1	5	2	3	0	2	
2	6	13	1	5	3	4	1	1	
3	2	8	1	5	2	4	0	1	
4	7	14	2	7	2	3	1	1	
5	3	10	1	5	3	4	1	3	
6	11	16	2	7	2	4	1	1	
7	6	12	1	8	2	3	2	1	
8	6	13	1	5	3	4	2	3	
9	4	9	1	5	2	3	2	2	
10	2	9	2	6	2	4	1	1	
11	11	16	1	9	3	2	0	1	
12	4	12	2	8	3	3	1	3	
13	9	16	2	9	3	4	1	1	
14	6	13	2	7	2	2	1	1	
15	9	16	1	7	3	4	0	1	
16	11	16	2	9	2	4	2	3	
17	7	15	2	8	3	2	2	3	
18	11	16	2	6	2	2	1	3	
19	10	16	2	7	3	4	2	2	
20	3	10	1	9	3	2	0	3	
21	11	16	1	8	3	3	2	3	
22	3	10	2	5	2	3	2	1	
23	6	12	1	8	2	3	2	3	
24	7	14	2	5	2	2	2	1	
25	0	7	1	7	3	3	0	3	
26	11	16	1	5	2	3	1	1	
27	5	12	2	7	2	4	0	1	
28	11	16	2	8	3	3	2	2	
29	0	6	1	6	2	4	2	2	
30	0	7	2	5	2	4	0	2	
31	5	13	2	5	3	2	0	1	
32	0	7	1	7	3	4	1	3	
33	6	11	1	7	2	3	0	2	
34	5	12	2	5	2	3	2	3	
35	9	15	1	9	2	3	0	3	
36	11	16	2	7	2	2	1	2	
37	0	6	1	7	2	2	1	2	
38	5	10	1	9	2	4	0	2	
39	2	11	2	7	3	3	2	1	
40	0	5	1	6	2	3	1	1	
41	4	10	2	6	2	3	1	1	
42	9	16	2	6	3	4	2	3	
43	9	16	1	5	3	4	1	1	
44	8	15	1	6	3	4	1	1	
45	9	16	1	6	3	4	1	2	
46	8	14	1	7	2	4	0	1	
47	0	8	2	7	3	2	1	3	
48	3	9	1	6	2	3	2	1	
49	7	14	1	6	3	4	0	1	
50	9	16	1	9	3	4	2	2	
51	4	11	2	8	2	3	0	3	
52	10	16	2	6	3	4	1	1	
53	2	8	2	9	2	3	0	2	
54	0	8	1	9	3	2	0	3	
55	8	16	1	9	3	4	1	3	
56	5	13	2	6	3	2	1	2	
57	9	16	2	9	3	4	1	3	
58	2	8	2	5	2	3	0	3	
59	1	7	2	6	2	2	2	1	
60	0	8	1	9	3	3	0	1	
61	0	9	2	9	3	2	0	2	
62	9	16	1	7	3	4	0	2	
63	9	16	2	5	3	2	1	2	
64	8	16	1	7	3	4	0	3	
65	9	16	2	6	3	4	0	2	
66	11	16	2	8	2	3	2	2	
67	8	13	1	8	2	3	1	3	
68	3	12	2	8	3	2	0	1	
69	5	11	1	9	2	3	1	3	
70	2	8	1	7	2	4	1	3	
71	3	9	1	6	2	3	2	2	
72	7	15	2	6	3	3	2	2	
73	7	14	2	6	2	3	2	3	
74	1	8	1	9	3	2	1	2	
75	10	16	1	7	3	3	2	2	
76	11	16	2	6	2	4	1	3	
77	8	15	2	7	2	4	0	3	
78	11	16	2	9	2	2	2	1	
79	8	16	2	8	3	2	1	2	
80	0	8	2	9	3	2	0	1	
81	10	16	1	7	3	2	0	2	
82	11	16	1	8	2	3	1	1	
83	2	10	1	6	3	4	1	2	
84	5	13	2	6	3	3	2	2	
85	8	14	2	5	2	3	2	1	
86	4	11	2	6	2	3	1	3	
87	1	9	2	9	3	3	2	2	
88	8	15	2	5	2	4	2	1	
89	11	16	1	7	2	4	2	3	
90	6	11	1	5	2	2	1	3	
91	10	16	2	5	3	3	1	2	
92	7	12	1	6	2	3	1	2	
93	1	6	1	6	2	3	2	1	
94	9	16	1	9	3	2	2	3	
95	11	16	2	6	2	4	0	3	
96	1	8	2	8	2	4	1	2	
97	6	13	1	6	3	3	0	2	
98	8	14	1	9	2	2	1	2	
99	3	11	2	5	3	3	1	1	
100	7	13	1	6	2	4	0	2	
101	10	16	2	8	3	3	0	3	
102	1	10	2	9	3	4	0	3	
103	4	10	1	6	2	2	1	3	
104	8	15	1	6	3	4	2	2	
105	0	8	2	7	3	3	1	3	
106	5	12	2	9	2	4	2	2	
107	4	11	1	8	3	2	0	3	
108	10	15	1	7	2	2	0	2	
109	5	10	1	9	2	3	1	3	
110	2	10	1	7	3	4	1	3	
111	11	16	1	9	2	2	2	3	
112	2	11	2	8	3	4	0	3	
113	10	15	1	7	2	4	2	3	
114	6	15	2	7	3	4	2	3	
115	2	11	2	5	3	3	0	2	
116	9	14	1	5	2	2	1	2	
117	2	8	1	8	2	2	2	2	
118	5	12	2	5	2	2	1	3	
119	6	13	2	5	2	4	1	2	
120	3	10	1	5	3	2	2	3	
121	6	14	1	8	3	4	0	3	
122	10	16	2	5	3	4	2	3	
123	1	8	1	6	3	2	2	3	
124	5	14	2	7	3	3	0	3	
125	1	6	1	9	2	4	2	3	
126	1	7	1	5	2	3	2	2	
127	3	11	2	7	3	4	1	3	
128	5	12	2	8	2	4	0	3	
129	9	16	2	7	2	3	2	3	
130	2	9	2	8	2	4	0	1	
131	4	9	1	9	2	3	0	1	
132	7	13	2	9	2	4	0	1	
133	7	16	2	7	3	3	1	1	
134	4	11	2	8	2	2	0	3	
135	3	11	1	9	3	4	1	3	
136	6	11	1	5	2	2	2	3	
137	9	16	2	9	2	3	2	2	
138	0	8	2	5	3	2	0	1	
139	6	14	1	6	3	4	2	1	
140	6	14	2	7	3	4	2	2	
141	1	6	1	8	2	3	2	1	
142	4	13	2	9	3	4	1	1	
143	6	11	1	7	2	3	2	1	
144	2	10	2	9	3	2	2	1	
145	1	8	1	6	3	3	2	1	
146	4	11	2	6	2	4	2	1	
147	11	16	1	9	2	4	1	2	
148	7	12	1	9	2	2	1	1	
149	8	15	1	6	3	3	0	2	
150	6	12	1	7	2	2	0	2	
151	9	14	1	8	2	4	1	3	
152	9	14	1	6	2	4	0	3	
153	10	16	2	6	3	4	0	2	
