begin{nbTrucks}
92
end{nbTrucks}
begin{nbDocks}
24
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
20
end{nbResourcePersonel}
begin{nbResourceEquipment}
6
end{nbResourceEquipment}
begin{nbResourceVehicule}
8
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	9	16	2	8	3	2	2	2	
2	8	14	1	7	2	4	0	2	
3	9	16	1	9	3	4	2	1	
4	8	15	1	9	3	2	1	3	
5	11	16	1	7	2	4	2	1	
6	10	16	2	7	2	2	2	3	
7	1	7	2	6	2	2	1	2	
8	11	16	1	7	3	3	1	2	
9	2	10	2	8	3	3	2	2	
10	9	15	2	7	2	4	1	2	
11	4	10	1	7	2	2	1	2	
12	9	15	1	6	2	4	0	2	
13	8	16	2	8	3	2	2	1	
14	6	14	2	9	3	4	0	3	
15	11	16	1	7	2	4	0	1	
16	11	16	1	5	3	2	0	1	
17	11	16	2	7	2	4	0	3	
18	4	11	2	6	2	4	0	2	
19	4	12	1	8	3	3	2	3	
20	8	14	2	8	2	2	2	3	
21	11	16	2	7	3	2	2	1	
22	0	7	2	9	2	4	0	2	
23	7	15	1	6	3	3	0	1	
24	0	9	2	8	3	4	1	1	
25	5	12	2	5	2	2	0	1	
26	4	10	2	8	2	2	2	2	
27	5	14	2	6	3	2	0	2	
28	10	16	1	7	2	3	0	3	
29	8	16	1	5	3	3	2	1	
30	10	16	1	5	3	2	0	3	
31	11	16	2	8	3	2	1	3	
32	11	16	2	6	3	4	2	2	
33	2	10	2	9	3	3	0	2	
34	5	13	1	6	3	4	1	3	
35	5	13	2	5	3	3	1	1	
36	2	8	1	9	2	4	0	3	
37	5	11	1	6	2	3	1	2	
38	3	10	2	7	2	4	2	2	
39	2	8	1	7	2	2	2	2	
40	5	10	1	7	2	3	1	3	
41	0	7	1	6	3	2	0	2	
42	7	15	1	7	3	2	2	2	
43	10	16	2	6	3	3	2	3	
44	1	7	1	6	2	4	1	2	
45	7	13	1	9	2	4	1	3	
46	8	16	2	5	3	3	1	1	
47	6	11	1	6	2	3	1	3	
48	9	16	1	6	3	3	1	2	
49	11	16	1	6	3	4	1	2	
50	1	9	2	8	3	2	2	3	
51	1	7	2	9	2	2	1	3	
52	0	6	1	8	2	4	0	2	
53	10	16	1	9	3	2	2	1	
54	7	16	2	5	3	2	0	1	
55	1	8	2	6	2	3	1	3	
56	11	16	1	9	2	4	1	1	
57	10	16	1	7	2	2	2	2	
58	10	16	2	8	3	4	0	1	
59	2	9	2	9	2	3	1	3	
60	0	6	2	9	2	4	1	3	
61	3	11	2	7	3	4	2	3	
62	10	16	1	5	2	3	0	1	
63	3	8	1	5	2	3	0	1	
64	3	8	1	7	2	4	1	3	
65	2	10	1	5	3	3	0	2	
66	11	16	1	7	3	4	0	3	
67	11	16	2	6	2	4	2	1	
68	8	14	2	6	2	3	1	1	
69	9	14	1	7	2	4	2	2	
70	6	12	1	9	2	4	2	2	
71	6	12	2	6	2	4	2	2	
72	2	8	2	8	2	3	0	3	
73	1	9	2	7	3	4	0	3	
74	4	12	1	8	3	4	2	3	
75	8	13	1	7	2	2	0	3	
76	0	7	2	9	2	3	2	3	
77	0	8	2	7	3	2	0	3	
78	3	11	2	7	3	2	0	2	
79	6	14	2	7	3	3	2	2	
80	9	16	1	7	3	4	0	2	
81	5	14	2	9	3	2	2	1	
82	11	16	2	8	3	3	0	3	
83	11	16	2	8	3	3	0	2	
84	10	16	1	7	3	4	2	2	
85	1	8	2	7	2	4	2	1	
86	8	16	2	5	3	2	0	1	
87	6	15	2	5	3	4	2	1	
88	6	13	1	9	3	4	1	3	
89	5	12	1	8	3	2	1	3	
90	7	13	1	9	2	2	0	1	
91	7	14	1	5	3	4	2	1	
92	11	16	1	8	2	3	0	2	
end{Tasks}
