begin{nbTrucks}
139
end{nbTrucks}
begin{nbDocks}
38
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
32
end{nbResourcePersonel}
begin{nbResourceEquipment}
10
end{nbResourceEquipment}
begin{nbResourceVehicule}
13
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	3	8	1	9	2	4	2	3	
2	1	7	2	6	2	4	1	3	
3	1	9	2	9	3	4	0	1	
4	11	16	1	9	2	3	1	2	
5	4	9	1	6	2	4	2	1	
6	7	13	2	9	2	2	0	2	
7	4	12	2	6	3	4	1	1	
8	10	16	2	8	3	3	0	3	
9	3	11	1	9	3	2	0	2	
10	9	16	2	5	2	3	0	3	
11	4	13	2	5	3	2	1	2	
12	4	12	2	6	3	4	0	2	
13	2	11	2	6	3	3	2	3	
14	11	16	2	7	3	4	1	1	
15	0	6	1	5	2	4	0	2	
16	9	16	2	9	3	3	1	2	
17	4	11	1	5	3	4	0	1	
18	8	13	1	7	2	2	1	3	
19	7	15	2	6	3	3	1	3	
20	7	16	2	9	3	2	1	3	
21	4	9	1	7	2	2	0	3	
22	10	16	1	8	2	3	2	3	
23	4	12	1	9	3	3	2	1	
24	11	16	1	9	2	3	0	1	
25	10	16	1	5	2	3	1	3	
26	7	12	1	5	2	3	2	2	
27	8	16	2	5	3	4	2	3	
28	11	16	1	5	2	4	0	2	
29	0	5	1	9	2	3	0	2	
30	0	6	1	8	2	4	1	2	
31	7	13	2	6	2	4	2	2	
32	9	14	1	6	2	4	1	2	
33	0	6	2	5	2	4	2	3	
34	4	10	2	8	2	2	2	1	
35	4	12	2	8	3	3	1	2	
36	8	14	2	6	2	3	1	3	
37	5	11	2	5	2	4	0	3	
38	11	16	2	8	3	3	0	1	
39	7	16	2	5	3	2	1	1	
40	0	6	2	9	2	4	0	3	
41	6	15	2	8	3	3	1	1	
42	10	16	2	7	3	2	0	3	
43	7	16	2	6	3	2	0	2	
44	8	16	2	6	3	4	1	1	
45	5	10	1	6	2	3	2	2	
46	6	13	1	5	3	4	0	3	
47	9	15	1	8	2	2	1	2	
48	3	12	2	9	3	2	0	2	
49	3	9	1	5	2	2	1	1	
50	6	11	1	9	2	4	1	3	
51	0	8	2	8	3	2	2	3	
52	5	13	1	6	3	3	2	1	
53	2	8	2	5	2	3	0	1	
54	2	10	1	5	3	4	2	2	
55	10	16	2	7	2	3	1	1	
56	10	16	2	8	2	3	1	1	
57	8	16	2	9	3	4	1	2	
58	5	10	1	7	2	3	2	1	
59	11	16	1	6	3	3	2	3	
60	5	12	1	8	3	3	2	3	
61	7	15	2	5	3	3	0	2	
62	9	15	2	9	2	3	0	1	
63	5	13	1	7	3	3	1	2	
64	9	16	1	8	3	2	1	2	
65	3	8	1	7	2	3	1	3	
66	2	10	1	9	3	3	1	3	
67	5	13	2	8	3	4	0	2	
68	5	12	2	6	2	4	1	2	
69	6	12	1	7	2	3	1	1	
70	9	16	2	8	3	2	0	3	
71	4	13	2	9	3	4	2	3	
72	9	16	1	8	3	4	0	1	
73	0	6	1	8	2	4	2	3	
74	9	15	1	9	2	2	0	1	
75	11	16	1	5	3	4	0	3	
76	6	15	2	8	3	4	0	2	
77	6	11	1	6	2	4	1	1	
78	5	11	1	5	2	2	0	1	
79	1	9	1	5	3	4	0	2	
80	4	9	1	6	2	3	1	2	
81	4	12	1	9	3	2	1	3	
82	10	16	2	5	2	4	0	3	
83	0	6	1	5	2	4	0	2	
84	8	15	2	7	2	3	0	3	
85	4	10	2	7	2	2	1	1	
86	11	16	2	8	3	3	2	2	
87	11	16	1	9	3	4	1	3	
88	0	8	2	7	3	4	1	3	
89	11	16	1	6	2	4	1	1	
90	6	12	2	7	2	4	1	2	
91	10	16	1	7	2	2	1	3	
92	9	15	1	8	2	2	1	2	
93	0	7	1	6	3	2	2	1	
94	4	11	2	9	2	2	1	3	
95	0	7	1	6	3	3	2	3	
96	4	13	2	9	3	3	0	1	
97	1	8	2	9	2	3	1	3	
98	4	11	1	9	3	3	2	2	
99	8	14	1	8	2	3	0	2	
100	6	11	1	8	2	4	1	2	
101	5	14	2	9	3	2	1	2	
102	11	16	1	9	2	2	0	2	
103	6	13	1	7	3	3	1	3	
104	8	16	2	8	3	2	2	3	
105	6	12	2	5	2	3	0	1	
106	2	9	1	8	3	3	2	2	
107	5	12	1	6	3	2	2	1	
108	5	11	2	7	2	3	1	3	
109	1	9	1	6	3	2	2	1	
110	8	13	1	5	2	3	2	3	
111	3	10	2	8	2	2	0	3	
112	6	12	2	5	2	3	1	1	
113	0	6	2	5	2	2	2	3	
114	7	12	1	9	2	3	0	2	
115	0	7	1	6	3	3	1	2	
