begin{nbTrucks}
191
end{nbTrucks}
begin{nbDocks}
52
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
44
end{nbResourcePersonel}
begin{nbResourceEquipment}
13
end{nbResourceEquipment}
begin{nbResourceVehicule}
18
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	1	10	2	9	3	4	2	1	
2	3	12	2	8	3	3	2	1	
3	1	10	2	5	3	2	1	1	
4	8	14	1	8	2	4	1	2	
5	10	16	1	6	3	4	2	1	
6	4	12	2	6	3	2	2	1	
7	3	11	2	7	3	4	1	3	
8	9	15	2	6	2	4	2	1	
9	6	13	1	6	3	2	0	3	
10	1	10	2	9	3	4	2	2	
11	8	16	1	5	3	3	1	3	
12	8	15	1	5	3	2	1	3	
13	10	15	1	9	2	2	1	1	
14	6	15	2	5	3	3	0	1	
15	6	12	1	5	2	3	1	3	
16	4	10	1	5	2	3	1	1	
17	9	15	1	6	2	2	0	2	
18	2	9	1	5	3	3	1	1	
19	0	5	1	5	2	4	1	3	
20	6	13	1	5	3	2	2	2	
21	3	8	1	9	2	2	1	2	
22	9	15	2	5	2	3	0	1	
23	9	16	2	6	3	3	0	3	
24	1	6	1	6	2	3	1	3	
25	0	8	2	8	3	2	0	1	
26	4	12	2	8	3	3	0	2	
27	3	9	2	9	2	3	2	3	
28	3	8	1	6	2	2	1	1	
29	2	9	1	6	3	4	2	2	
30	6	14	2	8	3	2	0	2	
31	1	9	2	6	3	4	0	2	
32	10	16	1	6	2	4	2	2	
33	2	10	2	6	3	4	1	3	
34	0	7	1	6	3	2	1	3	
35	4	13	2	5	3	4	2	2	
36	8	15	2	5	2	4	1	3	
37	2	8	1	6	2	2	1	1	
38	8	13	1	7	2	2	2	2	
39	10	16	2	7	2	4	0	1	
40	8	15	1	7	3	3	2	2	
41	8	13	1	6	2	3	1	1	
42	5	10	1	7	2	2	1	1	
43	10	16	2	7	3	2	0	2	
44	7	14	1	7	3	3	1	1	
45	0	7	1	6	3	2	0	3	
46	8	14	1	8	2	2	2	1	
47	7	15	2	9	3	2	1	2	
48	11	16	1	6	3	2	1	3	
49	10	16	2	7	3	4	0	1	
50	6	11	1	6	2	3	2	3	
51	8	15	2	6	2	2	0	2	
52	2	7	1	6	2	3	0	2	
53	0	7	1	8	3	4	0	3	
54	9	16	2	6	2	2	1	2	
55	4	12	2	6	3	3	0	1	
56	5	11	1	7	2	4	0	2	
57	1	9	1	9	3	4	2	2	
58	11	16	1	6	2	2	2	2	
59	9	16	1	9	3	3	1	3	
60	4	10	1	6	2	2	1	3	
61	0	8	1	7	3	2	1	2	
62	2	7	1	9	2	3	2	1	
63	10	16	2	6	3	3	0	2	
64	5	12	1	5	3	4	1	2	
65	11	16	1	6	3	4	0	2	
66	11	16	1	5	3	4	1	3	
67	10	16	2	7	3	3	1	3	
68	2	8	2	5	2	2	0	2	
69	4	12	2	5	3	4	2	2	
70	5	12	1	5	3	4	1	3	
71	3	10	1	9	3	3	2	1	
72	8	16	1	8	3	3	0	3	
73	10	16	1	6	3	4	2	2	
74	7	16	2	7	3	3	1	2	
75	3	9	2	8	2	4	1	2	
76	2	9	1	7	3	4	0	2	
77	1	9	1	5	3	4	2	1	
78	10	16	1	5	2	3	1	3	
79	9	14	1	7	2	2	2	3	
80	10	16	1	8	3	2	2	2	
81	0	8	2	6	3	2	2	2	
82	6	12	1	8	2	2	0	2	
83	6	14	1	8	3	4	1	2	
84	9	16	2	6	2	3	1	3	
85	3	9	2	5	2	4	1	3	
86	8	14	1	6	2	3	0	2	
87	2	8	1	7	2	2	0	3	
88	7	14	2	6	2	3	2	2	
89	1	7	2	9	2	3	2	1	
90	7	14	1	6	3	2	1	1	
91	3	11	1	6	3	4	2	1	
92	2	10	1	6	3	3	2	1	
93	5	10	1	6	2	3	1	2	
94	3	11	2	7	3	4	2	3	
95	1	9	2	8	3	2	1	2	
96	10	16	1	8	2	3	1	3	
97	11	16	2	5	2	3	0	3	
98	8	16	2	7	3	3	2	2	
99	0	8	1	7	3	3	0	1	
100	11	16	2	7	3	4	1	3	
101	11	16	2	8	3	2	0	1	
102	3	12	2	7	3	2	2	2	
103	8	14	2	5	2	2	0	3	
104	4	9	1	5	2	4	2	2	
105	10	16	2	9	2	2	0	2	
106	3	11	1	7	3	4	2	3	
107	3	9	2	8	2	4	2	1	
108	10	16	1	8	3	3	1	1	
109	7	16	2	7	3	2	2	1	
110	7	13	2	5	2	4	2	2	
111	0	6	2	9	2	2	0	3	
112	9	16	1	5	3	3	2	2	
113	2	9	2	9	2	3	2	2	
114	11	16	1	6	3	2	2	2	
115	9	15	2	5	2	4	2	1	
116	3	8	1	5	2	3	2	2	
117	3	10	2	9	2	4	1	3	
118	3	11	2	9	3	3	1	1	
119	8	13	1	6	2	2	1	3	
120	10	16	2	9	2	2	0	2	
