begin{nbTrucks}
70
end{nbTrucks}
begin{nbDocks}
20
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
17
end{nbResourcePersonel}
begin{nbResourceEquipment}
5
end{nbResourceEquipment}
begin{nbResourceVehicule}
7
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	8	15	2	8	2	4	0	3	
2	6	12	2	9	2	4	2	3	
3	5	12	1	5	3	2	0	3	
4	1	8	2	5	2	2	0	2	
5	10	16	2	8	2	2	1	2	
6	4	11	2	6	2	4	2	2	
7	7	14	1	5	3	2	0	2	
8	11	16	1	8	3	4	1	1	
9	7	16	2	6	3	4	1	2	
10	2	9	1	9	3	3	2	2	
11	11	16	2	8	3	2	2	3	
12	7	13	2	6	2	3	1	1	
13	0	6	1	9	2	2	0	2	
14	2	11	2	7	3	3	2	1	
15	6	14	1	6	3	4	1	2	
16	4	11	1	9	3	3	2	2	
17	9	15	1	5	2	4	0	3	
18	8	15	2	6	2	2	0	3	
19	0	9	2	8	3	3	1	2	
20	8	15	2	8	2	3	0	3	
21	11	16	2	7	3	4	0	3	
22	6	14	2	7	3	2	1	1	
23	5	13	2	6	3	2	0	1	
24	8	15	2	7	2	2	2	2	
25	2	9	1	9	3	2	0	2	
26	3	11	2	8	3	4	0	1	
27	7	15	2	8	3	2	0	1	
28	6	13	1	9	3	4	1	1	
29	11	16	2	7	2	4	2	1	
30	7	12	1	9	2	2	2	1	
31	2	10	1	6	3	2	0	1	
32	0	8	1	5	3	3	1	2	
33	8	15	2	6	2	2	1	1	
34	8	13	1	7	2	3	1	3	
35	6	14	1	8	3	2	2	3	
36	2	8	1	7	2	4	1	3	
37	9	14	1	9	2	3	0	3	
38	7	12	1	5	2	2	0	1	
39	0	6	1	8	2	3	0	2	
40	2	10	1	7	3	4	0	3	
41	11	16	2	6	3	3	0	1	
42	5	13	1	6	3	3	1	3	
43	8	14	1	9	2	2	2	3	
44	3	11	2	6	3	3	2	3	
45	0	8	2	8	3	2	1	1	
46	9	14	1	9	2	3	0	2	
47	9	15	2	6	2	4	1	3	
48	6	15	2	8	3	4	0	2	
49	1	8	1	8	3	3	0	1	
50	6	13	2	5	2	2	1	3	
51	3	9	1	6	2	4	0	3	
52	8	14	1	6	2	4	2	2	
53	0	9	2	6	3	2	0	2	
54	6	11	1	6	2	3	0	2	
55	10	16	1	7	2	2	0	1	
56	9	14	1	9	2	4	0	1	
57	0	7	2	5	2	4	0	2	
58	2	10	1	5	3	3	0	3	
59	2	11	2	7	3	4	0	3	
60	1	8	2	5	2	2	0	3	
61	3	8	1	5	2	3	2	3	
62	8	15	2	5	2	2	1	3	
63	6	12	1	8	2	3	0	2	
64	10	16	2	5	2	2	2	3	
65	7	13	2	5	2	4	1	3	
66	9	15	1	6	2	2	0	2	
67	1	9	1	8	3	3	2	1	
68	7	13	2	5	2	3	2	2	
69	9	16	2	9	3	4	0	1	
70	9	16	1	7	3	4	1	1	
end{Tasks}
