begin{nbTrucks}
110
end{nbTrucks}
begin{nbDocks}
30
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
25
end{nbResourcePersonel}
begin{nbResourceEquipment}
8
end{nbResourceEquipment}
begin{nbResourceVehicule}
10
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	4	12	2	8	3	4	1	3	
2	2	9	1	7	3	4	2	3	
3	11	16	1	5	3	2	0	3	
4	1	7	1	6	2	4	0	3	
5	4	12	1	6	3	4	1	3	
6	11	16	2	5	3	4	1	1	
7	1	6	1	5	2	3	0	2	
8	4	10	2	8	2	3	1	1	
9	9	15	1	8	2	2	2	1	
10	2	10	1	5	3	4	1	3	
11	4	10	2	6	2	3	0	3	
12	5	11	1	5	2	2	0	2	
13	3	12	2	7	3	2	0	2	
14	0	7	2	7	2	4	1	2	
15	9	15	1	5	2	2	1	1	
16	0	7	2	5	2	3	1	3	
17	3	9	1	8	2	4	0	1	
18	8	15	2	7	2	4	1	2	
19	1	9	2	7	3	4	2	3	
20	8	16	1	6	3	4	1	1	
21	2	9	1	9	3	4	2	2	
22	3	9	2	5	2	3	0	3	
23	2	8	1	6	2	3	0	1	
24	2	10	1	7	3	4	0	3	
25	11	16	1	7	3	4	2	1	
26	1	9	1	5	3	4	1	2	
27	11	16	2	6	3	2	2	1	
28	9	16	1	9	3	4	2	1	
29	4	13	2	9	3	3	0	3	
30	4	13	2	7	3	2	0	3	
31	4	11	1	8	3	2	0	3	
32	8	13	1	8	2	2	1	3	
33	6	13	2	6	2	2	1	1	
34	10	16	2	9	2	3	1	3	
35	0	6	1	8	2	2	1	2	
36	4	12	2	5	3	4	0	2	
37	2	9	1	6	3	4	0	1	
38	5	11	1	7	2	3	2	1	
39	10	16	2	7	3	2	1	1	
40	10	16	2	8	2	2	2	2	
41	3	10	1	5	3	3	0	1	
42	5	14	2	6	3	2	0	1	
43	3	11	2	6	3	4	0	1	
44	2	9	1	6	3	2	0	2	
45	4	9	1	5	2	4	2	2	
46	4	11	2	8	2	4	2	3	
47	4	10	2	7	2	2	2	1	
48	10	16	2	7	3	3	1	2	
49	1	7	2	9	2	2	1	2	
50	2	8	1	5	2	3	2	2	
51	1	9	1	8	3	3	2	1	
52	2	9	2	8	2	4	1	3	
53	6	13	1	6	3	4	2	2	
54	0	7	2	6	2	4	2	1	
55	6	13	1	6	3	2	1	3	
56	4	12	1	8	3	3	2	1	
57	3	9	1	6	2	3	0	2	
58	3	8	1	5	2	3	1	2	
59	8	16	1	6	3	4	1	1	
60	5	11	2	6	2	2	0	2	
61	3	11	1	8	3	2	1	2	
62	6	12	1	9	2	2	0	3	
63	1	7	1	8	2	4	2	3	
64	5	11	2	9	2	4	1	3	
65	7	15	1	6	3	4	0	2	
66	3	9	2	9	2	3	0	1	
67	1	9	1	7	3	3	2	1	
68	5	11	2	8	2	3	1	3	
69	1	8	2	5	2	4	1	1	
70	0	8	1	9	3	2	1	2	
71	11	16	1	9	3	4	1	1	
72	9	16	2	7	3	2	1	2	
73	3	11	2	5	3	2	1	2	
74	10	16	1	8	3	2	2	1	
75	10	16	2	5	2	2	1	3	
76	11	16	1	5	2	2	1	3	
77	0	8	1	5	3	2	2	2	
78	2	11	2	8	3	2	2	3	
79	8	16	2	5	3	2	0	3	
80	10	16	1	9	2	4	0	1	
81	7	14	2	6	2	4	1	1	
82	5	11	2	6	2	3	2	2	
83	5	14	2	5	3	4	1	1	
84	7	13	2	5	2	2	1	2	
85	8	14	1	7	2	4	0	1	
86	9	15	1	7	2	4	2	1	
87	4	12	1	8	3	3	0	1	
88	10	16	1	7	3	2	1	2	
89	0	6	1	9	2	3	0	2	
90	0	8	1	8	3	2	2	2	
91	2	11	2	7	3	4	2	1	
92	9	15	2	9	2	4	2	3	
93	6	11	1	5	2	2	0	2	
94	5	11	2	9	2	3	0	3	
95	11	16	2	7	3	3	2	2	
96	4	11	1	8	3	2	2	1	
97	0	8	1	9	3	2	0	1	
98	4	10	1	5	2	4	1	3	
99	1	7	2	9	2	4	2	1	
100	11	16	1	9	3	3	1	2	
101	3	12	2	8	3	3	1	1	
102	5	11	2	8	2	2	1	2	
103	10	16	2	7	2	2	1	2	
104	2	8	1	5	2	3	1	2	
105	7	15	1	6	3	4	1	1	
106	1	10	2	8	3	3	2	2	
107	6	11	1	5	2	4	0	1	
108	11	16	1	7	3	4	1	1	
109	11	16	2	5	2	4	2	2	
110	0	6	1	9	2	4	0	1	
end{Tasks}
