begin{nbTrucks}
102
end{nbTrucks}
begin{nbDocks}
34
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
29
end{nbResourcePersonel}
begin{nbResourceEquipment}
9
end{nbResourceEquipment}
begin{nbResourceVehicule}
12
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	7	13	1	6	2	4	0	3	
2	8	16	1	7	3	4	1	2	
3	11	16	2	9	3	4	0	2	
4	3	11	1	7	3	2	2	2	
5	7	14	2	7	2	3	0	2	
6	10	16	2	7	2	2	2	2	
7	5	11	1	5	2	2	1	1	
8	11	16	2	8	3	2	1	2	
9	11	16	2	7	3	3	2	1	
10	6	15	2	6	3	4	1	3	
11	9	16	1	7	3	3	1	1	
12	11	16	2	9	3	4	2	3	
13	2	11	2	6	3	4	0	1	
14	10	16	1	6	2	4	2	3	
15	2	8	2	7	2	4	1	2	
16	4	10	2	7	2	4	0	2	
17	7	14	2	7	2	4	1	1	
18	11	16	1	6	2	3	0	2	
19	0	6	2	5	2	4	1	3	
20	4	12	1	9	3	2	1	1	
21	6	13	2	5	2	3	0	3	
22	11	16	1	5	2	2	1	2	
23	5	10	1	7	2	4	0	1	
24	7	13	1	5	2	4	1	3	
25	4	9	1	7	2	3	0	3	
26	0	7	2	7	2	3	2	3	
27	2	10	1	7	3	4	2	2	
28	5	13	1	8	3	2	0	2	
29	2	8	2	8	2	3	1	2	
30	2	8	2	5	2	3	1	1	
31	7	12	1	8	2	2	1	2	
32	7	13	1	9	2	2	0	3	
33	8	14	1	9	2	3	0	1	
34	10	16	1	8	3	2	0	2	
35	4	11	2	5	2	2	1	3	
36	2	11	2	9	3	4	0	2	
37	6	13	2	8	2	3	1	2	
38	7	13	2	9	2	2	1	3	
39	8	15	1	7	3	3	2	3	
40	8	14	1	6	2	4	0	1	
41	0	6	2	7	2	4	0	2	
42	0	8	1	6	3	2	0	1	
43	1	9	2	9	3	4	2	3	
44	6	14	1	6	3	4	2	3	
45	2	11	2	7	3	2	1	1	
46	2	11	2	9	3	4	2	2	
47	5	14	2	6	3	4	2	1	
48	6	12	2	8	2	4	2	3	
49	1	8	1	8	3	2	1	2	
50	1	6	1	8	2	2	2	3	
51	6	14	1	5	3	3	1	1	
52	8	15	1	7	3	3	1	3	
53	2	7	1	7	2	4	0	1	
54	4	11	1	9	3	3	1	1	
55	11	16	2	9	3	4	0	3	
56	3	9	1	5	2	3	0	3	
57	3	10	2	7	2	2	1	3	
58	4	9	1	8	2	4	1	2	
59	3	8	1	5	2	4	0	1	
60	8	14	1	5	2	2	0	2	
61	11	16	2	8	2	3	1	3	
62	11	16	2	6	3	4	1	2	
63	8	15	1	5	3	4	0	1	
64	2	9	2	6	2	3	2	2	
65	0	6	2	9	2	2	2	3	
66	4	11	1	6	3	2	1	3	
67	4	9	1	9	2	3	0	3	
68	2	8	2	8	2	3	2	3	
69	1	8	1	9	3	3	1	3	
70	6	15	2	7	3	2	2	1	
71	9	16	1	9	3	2	0	2	
72	0	8	1	8	3	2	2	3	
73	9	15	2	7	2	3	0	3	
74	8	16	2	7	3	4	0	2	
75	5	12	2	7	2	3	2	2	
76	9	16	1	9	3	2	0	2	
77	0	8	2	6	3	3	2	2	
78	7	16	2	8	3	4	2	2	
79	0	5	1	5	2	2	1	2	
80	2	8	2	9	2	3	0	1	
81	8	16	1	9	3	3	2	1	
82	0	9	2	6	3	4	1	2	
83	5	10	1	9	2	3	0	3	
84	7	15	1	5	3	4	2	3	
85	6	14	1	7	3	3	1	1	
86	2	7	1	6	2	3	2	3	
87	4	11	2	6	2	3	2	1	
88	4	11	1	8	3	4	2	2	
89	10	16	2	5	2	3	2	1	
90	10	16	1	8	3	4	2	3	
91	4	11	1	7	3	4	0	1	
92	2	8	1	8	2	2	2	2	
93	4	9	1	5	2	3	0	3	
94	5	11	1	6	2	2	0	1	
95	4	12	2	7	3	3	1	1	
96	9	16	1	5	3	2	0	3	
97	3	8	1	6	2	3	1	2	
98	8	16	2	5	3	2	2	2	
99	4	9	1	5	2	3	0	3	
100	7	15	2	5	3	3	1	2	
101	9	15	2	9	2	2	1	1	
102	8	16	2	5	3	3	0	3	
end{Tasks}
