begin{nbTrucks}
173
end{nbTrucks}
begin{nbDocks}
56
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
47
end{nbResourcePersonel}
begin{nbResourceEquipment}
14
end{nbResourceEquipment}
begin{nbResourceVehicule}
19
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	11	16	1	6	2	4	2	3	
2	8	16	2	9	3	4	1	1	
3	0	8	2	7	3	4	1	1	
4	8	14	1	7	2	3	2	3	
5	6	11	1	9	2	4	2	2	
6	11	16	1	5	3	4	0	2	
7	4	13	2	6	3	3	2	3	
8	5	11	2	8	2	4	1	1	
9	1	7	1	5	2	3	2	1	
10	1	6	1	5	2	3	0	1	
11	8	13	1	8	2	2	0	2	
12	5	11	2	5	2	4	1	3	
13	11	16	2	9	2	2	0	2	
14	8	15	1	7	3	4	0	1	
15	1	6	1	7	2	4	2	1	
16	0	8	2	5	3	4	2	1	
17	6	13	1	6	3	3	1	2	
18	1	6	1	6	2	2	0	2	
19	11	16	2	8	3	3	1	1	
20	10	16	1	6	3	3	1	3	
21	9	14	1	9	2	4	1	1	
22	11	16	1	9	3	2	1	2	
23	5	13	2	6	3	2	2	1	
24	9	16	1	7	3	4	0	1	
25	10	16	1	7	3	4	2	2	
26	7	15	1	6	3	2	1	3	
27	11	16	1	6	3	4	1	3	
28	7	14	1	9	3	2	2	1	
29	4	9	1	6	2	3	1	3	
30	0	7	2	5	2	3	1	3	
31	11	16	2	6	3	3	1	2	
32	11	16	2	6	3	3	0	2	
33	4	10	1	9	2	3	0	1	
34	4	10	1	8	2	4	2	1	
35	2	10	1	5	3	2	2	3	
36	6	14	1	5	3	4	0	1	
37	9	16	2	9	3	4	1	2	
38	4	9	1	5	2	4	1	3	
39	1	10	2	5	3	2	1	1	
40	5	13	2	5	3	4	1	2	
41	0	8	2	5	3	4	2	1	
42	0	7	2	7	2	2	1	1	
43	1	7	1	8	2	4	1	1	
44	10	16	2	9	2	2	1	1	
45	11	16	1	5	2	4	1	3	
46	3	9	1	5	2	4	1	1	
47	6	13	1	9	3	2	0	2	
48	2	8	1	8	2	4	0	2	
49	8	14	2	9	2	2	1	2	
50	3	11	1	9	3	2	2	1	
51	7	13	2	5	2	4	1	3	
52	0	8	2	6	3	2	2	1	
53	4	12	2	7	3	2	2	2	
54	2	9	2	8	2	3	0	1	
55	11	16	1	6	3	4	1	1	
56	10	15	1	8	2	3	2	2	
57	1	9	1	7	3	3	1	2	
58	6	12	2	9	2	3	0	2	
59	3	12	2	6	3	3	0	1	
60	4	10	1	9	2	4	1	2	
61	7	15	1	8	3	4	2	2	
62	4	10	2	7	2	3	0	3	
63	6	14	1	9	3	3	2	3	
64	6	14	1	7	3	4	1	1	
65	1	8	1	9	3	3	1	3	
66	3	10	1	5	3	3	2	2	
67	9	16	1	7	3	2	1	1	
68	7	13	1	5	2	3	1	3	
69	10	16	1	5	3	3	1	3	
70	11	16	1	8	2	2	1	3	
71	5	11	1	8	2	2	2	2	
72	0	6	1	7	2	3	1	3	
73	1	9	1	6	3	2	2	1	
