begin{nbTrucks}
197
end{nbTrucks}
begin{nbDocks}
44
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
37
end{nbResourcePersonel}
begin{nbResourceEquipment}
11
end{nbResourceEquipment}
begin{nbResourceVehicule}
15
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	3	12	2	8	3	4	2	3	
2	6	13	1	8	3	4	1	3	
3	2	8	2	7	2	2	1	1	
4	6	14	1	7	3	4	0	2	
5	5	13	2	6	3	3	0	1	
6	0	6	1	7	2	2	1	1	
7	10	16	1	9	3	4	0	2	
8	7	13	2	9	2	3	0	1	
9	10	16	2	7	3	4	0	1	
10	7	12	1	7	2	2	2	2	
11	10	16	2	6	3	3	1	1	
12	2	8	1	6	2	4	0	2	
13	6	15	2	7	3	3	0	1	
14	1	8	1	9	3	3	0	1	
15	8	16	2	7	3	4	0	2	
16	4	13	2	7	3	2	0	1	
17	11	16	1	8	3	3	0	1	
18	0	6	1	9	2	2	2	1	
19	5	12	2	5	2	3	1	2	
20	9	15	1	7	2	4	1	1	
21	2	9	1	9	3	4	2	2	
22	11	16	1	8	3	4	1	2	
23	10	16	1	5	2	2	0	1	
24	9	16	1	9	3	2	0	3	
25	11	16	1	9	2	3	1	3	
26	2	7	1	9	2	2	1	1	
27	3	9	1	6	2	2	2	1	
28	1	7	1	8	2	4	0	3	
29	8	14	2	8	2	4	1	2	
30	11	16	2	9	2	4	1	3	
31	8	15	2	8	2	4	0	3	
32	5	13	1	5	3	3	1	2	
33	8	15	1	6	3	3	0	1	
34	8	15	2	7	2	2	1	2	
35	8	16	2	6	3	3	1	1	
36	0	7	1	8	3	2	0	1	
37	1	8	2	9	2	4	0	2	
38	8	15	1	5	3	4	1	3	
39	11	16	2	7	2	2	0	2	
40	3	11	1	5	3	3	1	3	
41	3	9	1	5	2	4	0	3	
42	4	12	1	9	3	3	1	1	
43	4	11	2	8	2	4	2	2	
44	0	6	2	7	2	4	1	3	
45	5	13	2	5	3	4	0	3	
46	9	14	1	6	2	4	2	2	
47	4	11	2	9	2	4	2	3	
48	7	15	2	9	3	2	0	1	
49	2	10	1	7	3	4	1	2	
50	8	13	1	8	2	4	2	2	
51	1	10	2	6	3	2	2	2	
52	8	15	2	6	2	2	2	1	
53	9	16	1	8	3	4	0	3	
54	4	13	2	9	3	3	2	1	
55	5	11	1	8	2	3	2	3	
56	6	13	1	6	3	3	0	2	
57	10	16	2	8	2	2	2	1	
58	11	16	1	5	2	4	0	3	
59	0	8	1	6	3	2	2	2	
60	11	16	2	8	2	3	0	2	
61	1	6	1	8	2	3	2	2	
62	4	12	1	9	3	4	1	2	
63	2	7	1	8	2	4	1	3	
64	9	15	2	5	2	2	2	2	
65	10	16	2	9	2	4	0	3	
66	9	15	2	5	2	2	2	1	
67	4	13	2	9	3	4	0	3	
68	7	13	1	7	2	4	0	3	
69	6	12	1	5	2	4	1	1	
70	6	15	2	7	3	4	1	2	
71	1	6	1	6	2	3	1	3	
72	5	11	2	5	2	3	0	3	
73	0	7	2	5	2	3	2	1	
74	9	16	2	6	3	2	1	1	
75	3	8	1	5	2	3	1	1	
76	7	12	1	5	2	3	2	3	
77	6	14	2	9	3	4	1	3	
78	9	16	1	8	3	2	1	1	
79	2	9	2	5	2	4	0	3	
80	11	16	1	7	2	3	0	1	
81	2	10	1	7	3	2	1	2	
82	9	15	2	6	2	3	1	2	
83	3	12	2	8	3	3	0	3	
84	11	16	2	6	2	2	2	1	
85	9	14	1	6	2	3	0	3	
86	11	16	2	6	3	2	2	3	
87	3	9	1	7	2	2	2	1	
88	4	13	2	8	3	2	1	2	
89	9	15	1	5	2	2	0	3	
90	1	6	1	6	2	3	2	3	
91	9	15	1	5	2	2	1	3	
92	1	9	1	6	3	4	0	2	
93	9	14	1	5	2	2	1	2	
94	4	10	2	9	2	4	1	1	
95	8	15	1	7	3	3	0	3	
96	0	5	1	8	2	3	0	1	
97	1	6	1	8	2	3	2	3	
98	2	8	1	6	2	2	2	2	
99	6	11	1	8	2	3	1	1	
100	9	16	2	6	3	4	2	3	
101	11	16	1	5	2	4	1	1	
102	9	16	1	6	3	3	0	2	
103	11	16	1	6	3	4	1	2	
104	8	15	1	9	3	2	2	3	
