begin{nbTrucks}
178
end{nbTrucks}
begin{nbDocks}
36
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
30
end{nbResourcePersonel}
begin{nbResourceEquipment}
9
end{nbResourceEquipment}
begin{nbResourceVehicule}
12
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	4	11	1	5	3	2	0	3	
2	1	7	2	9	2	2	1	2	
3	4	9	1	9	2	4	2	1	
4	10	16	1	7	3	3	2	1	
5	6	14	1	7	3	2	2	2	
6	8	16	2	5	3	3	2	3	
7	1	8	2	8	2	4	2	1	
8	1	9	1	8	3	3	0	3	
9	6	13	2	6	2	4	1	3	
10	0	6	2	9	2	3	1	2	
11	4	11	1	7	3	3	1	2	
12	8	16	2	9	3	3	0	2	
13	0	7	2	6	2	2	1	1	
14	11	16	2	7	3	3	2	2	
15	5	11	2	6	2	2	1	3	
16	1	7	1	5	2	4	1	2	
17	4	12	1	5	3	4	2	3	
18	7	13	1	5	2	3	1	2	
19	9	16	1	8	3	4	2	1	
20	5	12	1	6	3	4	2	1	
21	8	16	2	7	3	4	0	3	
22	8	14	2	8	2	2	0	2	
23	8	15	2	9	2	3	0	1	
24	4	10	1	5	2	3	2	3	
25	9	16	1	9	3	2	2	2	
26	10	16	2	7	2	4	2	3	
27	2	8	1	6	2	2	1	2	
28	4	11	2	7	2	3	0	3	
29	10	16	1	7	2	4	0	2	
30	10	16	2	9	2	3	2	3	
31	8	16	2	5	3	2	0	3	
32	7	15	2	8	3	4	2	1	
33	7	16	2	9	3	3	1	3	
34	11	16	2	6	2	3	1	2	
35	0	8	1	5	3	2	1	1	
36	7	14	1	5	3	4	0	2	
37	7	14	1	7	3	4	2	2	
38	4	11	1	7	3	4	0	2	
39	11	16	2	6	3	3	0	2	
40	4	13	2	5	3	3	0	3	
41	8	14	1	6	2	4	1	3	
42	11	16	1	9	2	4	1	2	
43	11	16	2	8	2	4	1	3	
44	1	10	2	8	3	4	0	2	
45	6	11	1	8	2	4	1	1	
46	5	10	1	5	2	2	2	2	
47	3	10	2	5	2	4	0	2	
48	9	15	1	7	2	4	1	3	
49	5	12	2	9	2	3	2	3	
50	7	15	2	9	3	4	1	1	
51	10	15	1	7	2	2	0	2	
52	4	10	1	5	2	4	2	3	
53	6	13	2	5	2	3	2	2	
54	7	15	2	6	3	3	1	1	
55	10	15	1	7	2	4	1	2	
56	6	13	1	7	3	3	2	1	
57	9	14	1	9	2	4	0	2	
58	3	8	1	8	2	2	2	2	
59	5	13	1	9	3	2	0	2	
60	5	11	2	6	2	3	1	1	
61	5	13	2	6	3	2	1	1	
62	8	14	1	8	2	2	2	3	
63	3	9	1	6	2	3	2	1	
64	8	13	1	9	2	3	0	2	
65	0	6	2	8	2	2	1	2	
66	5	13	1	5	3	4	0	3	
67	11	16	2	5	3	2	0	3	
68	2	8	1	8	2	2	2	3	
69	9	16	1	5	3	4	2	2	
70	8	14	1	7	2	2	1	1	
71	2	10	2	7	3	2	1	2	
72	6	13	1	8	3	2	1	1	
73	3	12	2	5	3	3	2	3	
74	11	16	2	7	2	3	0	1	
75	11	16	1	8	3	4	2	3	
76	6	15	2	5	3	4	0	2	
77	6	12	2	9	2	3	0	1	
78	3	12	2	8	3	2	1	1	
79	10	16	2	7	3	2	2	2	
80	2	9	2	8	2	4	1	2	
81	1	7	1	8	2	3	1	2	
82	1	7	1	9	2	3	2	1	
83	0	8	2	5	3	3	1	3	
84	1	7	1	7	2	4	0	3	
85	4	12	1	9	3	2	0	2	
86	0	7	1	7	3	2	1	1	
87	3	11	2	8	3	2	0	2	
88	1	10	2	8	3	4	0	2	
89	8	16	1	9	3	4	1	1	
90	3	11	2	5	3	4	0	1	
