begin{nbTrucks}
118
end{nbTrucks}
begin{nbDocks}
36
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
30
end{nbResourcePersonel}
begin{nbResourceEquipment}
9
end{nbResourceEquipment}
begin{nbResourceVehicule}
12
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	11	16	2	7	3	3	0	1	
2	5	12	1	7	3	2	2	1	
3	4	12	2	7	3	4	1	1	
4	7	13	2	8	2	2	2	1	
5	5	13	1	7	3	4	0	2	
6	4	11	2	7	2	4	0	2	
7	9	16	2	5	3	2	0	3	
8	3	10	1	9	3	4	2	2	
9	10	16	1	8	3	3	1	3	
10	2	11	2	5	3	3	1	1	
11	7	13	1	6	2	3	2	1	
12	6	14	1	9	3	2	2	3	
13	0	8	2	9	3	4	1	2	
14	7	14	1	7	3	3	1	2	
15	8	15	1	7	3	3	0	3	
16	3	9	2	9	2	3	0	1	
17	10	16	2	5	2	4	1	2	
18	9	15	1	5	2	3	2	1	
19	11	16	1	5	3	4	0	1	
20	10	16	2	8	3	3	0	2	
21	10	16	2	8	3	2	2	2	
22	10	16	1	5	3	3	2	1	
23	0	6	1	6	2	2	2	3	
24	1	9	1	7	3	3	1	1	
25	2	10	2	7	3	2	2	2	
26	9	14	1	5	2	2	0	2	
27	10	16	1	7	3	2	2	2	
28	6	15	2	5	3	3	2	2	
29	0	7	2	7	2	3	1	2	
30	9	16	2	8	3	3	1	3	
31	8	16	2	7	3	3	0	2	
32	3	11	1	7	3	3	1	1	
33	0	5	1	8	2	2	1	2	
34	1	7	2	6	2	4	1	3	
35	11	16	2	6	3	3	1	2	
36	2	9	2	8	2	4	2	1	
37	7	15	2	9	3	4	0	1	
38	7	14	1	7	3	4	1	2	
39	5	13	2	5	3	2	2	3	
40	5	14	2	9	3	4	2	3	
41	2	8	1	5	2	4	0	2	
42	5	12	1	7	3	4	2	2	
43	8	14	1	5	2	4	0	1	
44	1	8	2	5	2	4	2	2	
45	1	10	2	8	3	2	1	1	
46	11	16	1	6	2	4	2	3	
47	3	12	2	5	3	2	1	2	
48	8	13	1	8	2	2	0	2	
49	1	10	2	5	3	2	2	3	
50	1	10	2	9	3	3	2	3	
51	2	10	2	6	3	2	2	3	
52	3	12	2	9	3	4	2	2	
53	4	12	2	9	3	3	0	3	
54	11	16	2	9	3	4	2	2	
55	10	16	2	8	2	4	0	2	
56	7	12	1	8	2	3	1	3	
57	0	7	1	8	3	4	1	1	
58	11	16	1	9	3	2	2	1	
59	2	9	2	9	2	4	1	1	
60	10	16	2	9	2	2	2	2	
61	10	16	1	8	3	4	1	3	
62	11	16	2	9	3	4	1	3	
63	1	6	1	5	2	3	2	1	
64	5	11	1	5	2	3	0	3	
65	1	7	2	6	2	4	1	1	
66	5	14	2	9	3	2	1	2	
67	0	9	2	7	3	4	2	3	
68	5	12	1	7	3	3	2	2	
69	1	7	1	8	2	3	0	1	
70	9	15	2	5	2	2	1	1	
71	9	14	1	5	2	3	2	2	
72	8	15	2	5	2	3	2	3	
73	9	14	1	9	2	4	0	1	
74	10	16	2	7	2	3	0	2	
75	5	13	1	7	3	3	2	2	
76	8	16	1	7	3	2	0	2	
77	3	11	1	6	3	3	1	3	
78	1	7	2	7	2	3	0	3	
79	5	11	2	5	2	2	0	3	
80	1	8	2	6	2	4	1	1	
81	4	13	2	5	3	4	2	2	
82	5	13	1	8	3	4	1	3	
83	4	10	2	9	2	4	0	2	
84	7	15	2	5	3	4	2	2	
85	4	12	2	8	3	2	1	2	
86	0	7	1	8	3	3	1	3	
87	10	16	1	7	2	4	0	1	
88	4	10	2	7	2	4	2	3	
89	11	16	1	8	3	4	1	1	
90	11	16	1	9	3	3	0	2	
91	4	10	1	8	2	3	1	2	
92	0	5	1	6	2	4	2	2	
93	10	16	2	5	3	4	0	2	
94	11	16	1	5	3	4	1	3	
95	3	8	1	9	2	2	2	3	
96	1	8	1	7	3	4	0	2	
97	4	13	2	7	3	4	0	3	
98	10	16	2	5	3	3	2	3	
99	6	12	2	8	2	2	0	2	
100	4	10	1	7	2	4	0	1	
101	10	15	1	8	2	2	2	3	
102	8	14	1	6	2	4	2	3	
103	5	12	2	8	2	3	1	1	
104	2	7	1	7	2	4	1	3	
105	5	12	1	8	3	4	1	3	
106	5	13	1	6	3	2	0	3	
107	4	11	2	8	2	3	1	2	
108	0	5	1	9	2	3	0	3	
109	2	8	2	9	2	2	1	1	
110	3	11	2	5	3	4	0	2	
111	5	12	2	9	2	3	1	3	
112	11	16	2	5	3	4	2	3	
113	4	9	1	8	2	4	0	2	
114	3	11	2	8	3	2	1	1	
115	1	9	2	8	3	4	2	1	
116	3	11	1	6	3	4	0	3	
117	0	5	1	9	2	4	1	3	
118	10	15	1	8	2	4	2	1	
end{Tasks}
