begin{nbTrucks}
159
end{nbTrucks}
begin{nbDocks}
48
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
40
end{nbResourcePersonel}
begin{nbResourceEquipment}
12
end{nbResourceEquipment}
begin{nbResourceVehicule}
16
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	2	7	1	5	2	4	0	2	
2	7	12	1	8	2	2	1	3	
3	7	14	1	6	3	3	2	2	
4	10	16	2	8	3	4	1	3	
5	4	11	1	8	3	2	2	1	
6	9	14	1	7	2	3	2	2	
7	6	13	2	7	2	4	2	1	
8	9	14	1	8	2	4	0	2	
9	5	11	1	5	2	4	0	3	
10	1	8	1	5	3	4	2	1	
11	6	13	2	5	2	2	0	3	
12	6	14	1	8	3	2	2	1	
13	6	14	1	7	3	2	2	2	
14	9	15	2	9	2	2	0	3	
15	4	12	1	6	3	2	2	1	
16	11	16	1	8	2	2	1	3	
17	10	16	1	7	3	4	1	3	
18	8	16	2	6	3	2	1	1	
19	0	7	1	7	3	4	0	3	
20	0	8	2	9	3	2	1	2	
21	11	16	2	8	3	3	2	1	
22	9	15	2	6	2	2	2	2	
23	11	16	2	8	2	3	1	1	
24	2	8	1	8	2	3	0	2	
25	6	12	2	9	2	4	1	3	
26	10	16	1	5	3	2	0	2	
27	9	16	2	9	3	3	0	2	
28	5	14	2	8	3	2	1	3	
29	8	16	1	8	3	3	0	3	
30	10	16	2	9	2	2	0	3	
31	4	10	1	5	2	2	2	2	
32	4	11	2	6	2	4	2	3	
33	8	16	1	6	3	4	0	3	
34	7	12	1	6	2	4	2	3	
35	6	11	1	7	2	4	1	3	
36	5	11	2	6	2	3	2	3	
37	8	15	1	8	3	3	0	3	
38	11	16	1	8	2	4	0	3	
39	10	16	1	9	3	3	1	3	
40	0	8	2	7	3	4	0	2	
41	7	13	1	9	2	3	1	2	
