begin{nbTrucks}
164
end{nbTrucks}
begin{nbDocks}
48
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
40
end{nbResourcePersonel}
begin{nbResourceEquipment}
12
end{nbResourceEquipment}
begin{nbResourceVehicule}
16
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	0	6	2	8	2	2	0	1	
2	1	9	2	6	3	2	2	1	
3	11	16	2	8	3	4	0	3	
4	7	16	2	6	3	2	0	3	
5	8	16	2	5	3	3	1	3	
6	9	16	2	7	3	2	0	3	
7	10	16	2	9	3	2	1	1	
8	1	7	1	5	2	4	1	2	
9	1	10	2	9	3	2	0	1	
10	10	16	2	5	3	2	1	1	
11	3	9	2	7	2	4	1	1	
12	9	15	2	6	2	2	0	1	
13	9	16	1	6	3	3	0	2	
14	11	16	2	7	3	3	0	3	
15	3	11	1	5	3	2	1	2	
16	8	13	1	5	2	2	1	1	
17	5	13	1	8	3	3	1	2	
18	1	8	1	7	3	2	1	3	
19	2	11	2	9	3	2	0	1	
20	8	13	1	9	2	2	2	2	
21	2	7	1	8	2	3	0	2	
22	4	11	1	6	3	3	0	2	
23	9	14	1	6	2	4	2	1	
24	2	9	1	6	3	2	0	3	
25	11	16	2	7	3	2	2	2	
26	1	7	1	6	2	3	0	3	
27	2	8	1	8	2	4	2	1	
28	7	14	2	8	2	4	0	1	
29	5	13	2	5	3	4	1	1	
30	5	14	2	9	3	3	1	3	
31	7	16	2	7	3	4	1	2	
32	1	7	2	9	2	2	0	2	
33	8	13	1	6	2	4	0	1	
34	6	13	1	8	3	2	2	2	
35	10	16	2	8	3	2	0	2	
36	6	14	2	8	3	3	0	2	
37	9	16	2	9	3	3	1	2	
38	9	14	1	9	2	2	2	2	
39	9	14	1	6	2	2	0	3	
40	11	16	2	9	3	3	2	1	
41	7	12	1	6	2	2	0	1	
42	8	15	1	8	3	4	1	2	
43	6	14	2	6	3	3	0	1	
44	6	15	2	5	3	4	0	3	
45	1	7	1	8	2	4	2	1	
46	0	7	1	7	3	2	0	1	
47	9	16	2	9	3	3	0	3	
48	1	6	1	6	2	3	1	1	
49	5	11	1	6	2	4	0	3	
50	0	8	1	9	3	2	2	1	
51	9	16	2	6	3	4	2	1	
52	11	16	1	8	2	2	0	1	
53	3	11	2	5	3	2	0	2	
54	6	15	2	5	3	2	1	1	
55	7	12	1	6	2	3	0	3	
56	2	7	1	9	2	3	0	3	
57	5	14	2	5	3	4	1	3	
58	1	10	2	5	3	4	0	1	
59	8	15	1	9	3	3	1	1	
60	11	16	1	7	3	3	2	1	
61	10	16	2	7	2	2	2	2	
62	3	10	2	7	2	3	0	3	
63	9	16	1	7	3	3	1	3	
64	6	15	2	9	3	2	2	1	
65	5	11	2	8	2	2	1	3	
66	0	7	1	5	3	4	0	2	
67	5	13	2	7	3	2	0	1	
68	2	10	2	9	3	4	1	2	
69	11	16	1	5	3	3	2	1	
70	4	10	2	8	2	3	2	2	
71	2	10	2	5	3	2	0	1	
72	1	9	1	9	3	2	1	3	
73	1	10	2	5	3	3	1	2	
74	4	13	2	9	3	2	2	1	
75	0	7	1	7	3	4	0	2	
76	1	7	1	5	2	2	0	1	
77	2	9	2	6	2	3	0	2	
78	2	7	1	9	2	2	0	2	
79	7	12	1	9	2	3	1	3	
