begin{nbTrucks}
125
end{nbTrucks}
begin{nbDocks}
30
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
25
end{nbResourcePersonel}
begin{nbResourceEquipment}
8
end{nbResourceEquipment}
begin{nbResourceVehicule}
10
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	4	10	2	7	2	2	2	1	
2	4	9	1	5	2	3	1	2	
3	3	8	1	6	2	2	2	2	
4	2	8	1	5	2	4	2	3	
5	5	11	1	9	2	4	0	2	
6	2	8	1	6	2	3	0	2	
7	2	9	1	8	3	3	2	3	
8	8	16	1	6	3	4	2	3	
9	6	14	2	7	3	2	1	3	
10	2	8	2	7	2	2	0	3	
11	2	9	2	9	2	3	0	2	
12	9	16	2	6	2	3	2	2	
13	7	15	1	9	3	3	0	3	
14	3	9	2	7	2	2	2	1	
15	1	9	1	9	3	2	0	3	
16	11	16	2	9	2	3	2	3	
17	10	16	2	8	2	4	2	1	
18	10	16	2	8	3	4	1	1	
19	6	13	2	6	2	2	1	3	
20	0	7	2	9	2	4	1	2	
21	4	12	1	9	3	2	0	1	
22	7	14	1	7	3	4	1	2	
23	4	10	2	7	2	2	1	2	
24	5	10	1	8	2	4	2	1	
25	11	16	2	7	3	2	1	1	
26	10	15	1	8	2	4	2	3	
27	6	12	1	6	2	3	2	2	
28	0	9	2	6	3	3	2	1	
29	2	10	2	7	3	3	2	2	
30	5	11	2	5	2	3	0	1	
31	11	16	2	9	3	4	0	3	
32	0	5	1	8	2	3	1	3	
33	2	7	1	5	2	2	1	3	
34	6	12	2	8	2	3	0	2	
35	7	15	2	9	3	4	2	3	
36	4	12	2	8	3	2	2	1	
37	8	13	1	9	2	3	0	2	
38	11	16	2	8	2	2	1	2	
39	5	10	1	8	2	2	1	3	
40	1	7	2	8	2	3	2	1	
41	4	13	2	6	3	2	0	3	
42	8	15	2	7	2	3	2	2	
43	2	11	2	9	3	2	1	2	
44	4	11	1	6	3	2	2	1	
45	2	7	1	9	2	3	1	2	
46	6	11	1	8	2	3	1	2	
47	3	10	2	6	2	3	1	2	
48	7	14	1	8	3	3	0	2	
49	7	13	2	8	2	2	1	1	
50	5	10	1	8	2	4	0	2	
51	5	14	2	5	3	4	1	2	
52	2	7	1	6	2	2	0	3	
53	6	13	1	8	3	3	1	1	
54	9	15	1	5	2	4	2	1	
55	6	13	2	9	2	4	0	3	
56	3	8	1	5	2	3	0	3	
57	11	16	1	7	2	4	2	1	
58	9	14	1	7	2	2	0	3	
59	2	8	1	6	2	3	2	1	
60	3	11	1	7	3	3	1	1	
61	7	12	1	8	2	4	2	2	
62	0	6	1	8	2	3	0	2	
63	2	11	2	7	3	4	2	3	
64	1	9	2	5	3	4	0	3	
65	7	12	1	8	2	2	1	3	
66	4	11	1	6	3	3	1	2	
67	7	15	2	6	3	3	0	2	
68	10	15	1	5	2	3	2	3	
69	9	16	2	7	3	3	2	1	
70	7	14	1	5	3	4	0	3	
71	7	15	1	8	3	2	0	1	
72	11	16	1	9	2	4	0	1	
73	7	12	1	7	2	2	1	2	
74	0	7	2	9	2	4	0	1	
75	1	6	1	8	2	2	0	3	
76	11	16	2	9	2	4	0	2	
77	11	16	1	8	3	4	1	2	
78	10	16	2	7	2	4	2	2	
79	7	14	1	5	3	2	0	1	
80	7	13	2	5	2	4	1	1	
81	8	13	1	5	2	2	0	2	
82	11	16	1	7	3	4	1	3	
83	8	15	2	5	2	3	0	3	
84	9	16	1	6	3	3	1	1	
85	0	8	1	5	3	4	2	2	
86	11	16	2	7	3	4	1	1	
87	0	6	1	7	2	2	1	3	
88	11	16	1	8	3	2	2	1	
89	4	11	2	9	2	4	1	3	
90	1	7	2	8	2	3	0	3	
91	5	12	1	5	3	2	2	2	
92	1	7	1	8	2	3	2	2	
93	0	6	1	7	2	2	0	1	
94	1	10	2	8	3	4	2	2	
95	5	11	2	5	2	3	1	2	
96	0	6	2	6	2	2	0	1	
97	2	9	1	9	3	3	0	3	
98	4	10	1	5	2	4	0	3	
99	7	13	1	7	2	4	2	3	
100	2	10	2	9	3	4	0	1	
101	3	10	1	5	3	2	0	3	
102	3	9	1	7	2	3	0	1	
103	11	16	1	9	2	3	2	3	
104	1	8	1	8	3	2	1	3	
105	5	13	1	7	3	2	0	1	
106	2	7	1	8	2	4	0	2	
107	4	12	2	7	3	4	1	2	
108	11	16	1	7	2	4	2	1	
109	0	8	2	5	3	3	1	1	
110	7	15	1	6	3	3	2	1	
111	11	16	2	8	2	2	1	1	
112	5	13	2	6	3	4	1	3	
113	11	16	1	5	3	3	1	1	
114	5	11	2	8	2	2	0	1	
115	5	12	1	6	3	4	1	3	
116	10	16	1	8	3	4	2	1	
117	2	8	1	7	2	2	2	2	
118	10	16	1	9	3	3	0	1	
119	0	8	1	6	3	3	0	3	
120	4	13	2	5	3	2	2	2	
121	7	13	2	8	2	2	2	2	
122	5	10	1	7	2	3	0	2	
123	5	11	2	8	2	3	0	3	
124	11	16	1	5	3	3	1	2	
125	6	14	1	8	3	2	0	2	
end{Tasks}
