begin{nbTrucks}
169
end{nbTrucks}
begin{nbDocks}
38
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
32
end{nbResourcePersonel}
begin{nbResourceEquipment}
10
end{nbResourceEquipment}
begin{nbResourceVehicule}
13
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	3	9	1	8	2	3	0	3	
2	8	15	2	5	2	4	1	1	
3	6	12	2	9	2	2	0	3	
4	9	16	2	9	3	2	0	3	
5	1	9	1	8	3	4	2	2	
6	4	11	1	6	3	2	2	1	
7	5	11	2	5	2	3	2	2	
8	1	6	1	6	2	3	1	1	
9	1	8	1	6	3	4	2	3	
10	0	6	1	7	2	2	1	3	
11	7	13	2	9	2	2	0	3	
12	0	7	1	9	3	3	1	3	
13	11	16	2	6	3	3	1	2	
14	3	11	1	9	3	3	1	1	
15	8	15	1	7	3	4	0	1	
16	6	13	2	8	2	2	0	2	
17	3	9	2	8	2	4	2	3	
18	5	12	1	5	3	2	0	1	
19	7	14	2	9	2	4	0	3	
20	4	13	2	8	3	4	2	2	
21	8	14	1	6	2	4	2	2	
22	7	15	2	9	3	2	0	3	
23	0	7	1	9	3	2	2	3	
24	11	16	2	5	2	3	2	2	
25	3	11	2	6	3	3	1	3	
26	0	7	1	9	3	4	2	1	
27	1	7	1	9	2	4	2	2	
28	11	16	1	9	3	3	0	3	
29	11	16	1	5	3	3	0	3	
30	3	10	1	9	3	2	2	2	
31	1	9	1	5	3	4	0	1	
32	3	9	1	6	2	3	2	2	
33	3	10	1	8	3	2	2	3	
34	10	16	1	8	3	2	0	3	
35	1	8	2	7	2	2	2	2	
36	11	16	2	8	3	4	2	3	
37	10	16	1	9	3	2	2	2	
38	7	13	1	7	2	4	2	2	
39	11	16	1	6	2	3	0	3	
40	6	15	2	8	3	3	0	1	
41	7	12	1	6	2	4	0	1	
42	0	5	1	8	2	2	0	2	
43	8	14	2	8	2	3	1	2	
44	7	16	2	5	3	3	2	3	
45	2	9	1	5	3	2	1	1	
46	5	13	1	5	3	2	0	2	
47	9	16	2	8	2	3	0	3	
48	11	16	1	6	2	2	2	2	
49	1	10	2	9	3	3	1	2	
50	4	10	1	9	2	2	0	3	
51	3	9	2	9	2	2	0	1	
52	4	11	2	5	2	4	1	2	
53	1	10	2	5	3	2	0	3	
54	6	12	2	5	2	4	0	2	
55	8	13	1	5	2	3	1	1	
56	4	10	2	6	2	2	1	3	
57	8	13	1	6	2	2	2	3	
