begin{nbTrucks}
167
end{nbTrucks}
begin{nbDocks}
44
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
37
end{nbResourcePersonel}
begin{nbResourceEquipment}
11
end{nbResourceEquipment}
begin{nbResourceVehicule}
15
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	8	15	2	5	2	4	2	3	
2	2	10	2	7	3	2	1	1	
3	7	14	1	6	3	3	2	1	
4	11	16	1	8	2	4	1	1	
5	0	7	1	5	3	2	0	3	
6	1	8	1	9	3	3	2	3	
7	7	12	1	6	2	2	1	2	
8	5	14	2	5	3	3	1	3	
9	3	12	2	5	3	2	0	2	
10	6	11	1	5	2	2	0	1	
11	3	9	2	7	2	4	2	1	
12	5	11	1	9	2	2	2	2	
13	8	14	1	8	2	3	2	2	
14	8	16	2	6	3	4	1	1	
15	1	9	2	8	3	2	0	1	
16	7	13	1	6	2	2	0	1	
17	8	16	2	8	3	4	1	1	
18	2	8	2	8	2	4	1	1	
19	3	9	1	8	2	3	2	2	
20	0	6	1	8	2	2	2	1	
21	3	12	2	8	3	2	2	2	
22	5	11	1	9	2	3	1	2	
23	6	14	1	8	3	3	0	1	
24	2	8	1	5	2	2	0	2	
25	8	14	2	7	2	2	2	1	
26	8	15	1	6	3	2	1	2	
27	2	10	1	9	3	4	0	1	
28	8	14	2	5	2	4	0	1	
29	9	16	1	8	3	3	1	2	
30	9	15	2	6	2	4	1	1	
31	4	12	1	6	3	2	2	3	
32	2	11	2	6	3	4	2	3	
33	10	16	2	8	2	4	1	3	
34	11	16	2	6	3	2	2	3	
35	2	8	1	7	2	2	0	1	
36	10	16	2	8	2	2	1	3	
37	4	12	1	6	3	2	0	1	
38	11	16	1	9	3	3	1	1	
39	10	16	2	9	3	2	2	2	
40	1	7	2	7	2	2	1	1	
41	10	16	1	9	3	4	0	2	
42	7	15	2	5	3	3	0	1	
43	10	16	2	7	3	4	2	1	
44	4	12	2	8	3	2	0	2	
45	2	10	1	9	3	3	1	3	
46	5	11	1	6	2	4	1	2	
47	5	13	1	5	3	2	0	3	
48	5	11	1	7	2	3	1	3	
49	2	11	2	8	3	3	2	2	
50	3	10	1	8	3	4	1	2	
51	3	11	1	7	3	4	0	1	
52	2	8	2	5	2	4	0	1	
53	11	16	2	9	3	2	0	1	
54	1	9	2	6	3	3	2	3	
55	1	9	1	8	3	3	2	1	
56	11	16	2	8	2	2	2	1	
57	3	10	2	7	2	2	1	1	
58	1	6	1	8	2	4	1	1	
59	5	10	1	5	2	4	2	3	
60	5	11	2	9	2	3	0	1	
61	3	12	2	8	3	3	1	1	
62	5	14	2	5	3	2	2	2	
63	5	14	2	9	3	4	2	2	
64	7	12	1	9	2	4	1	3	
65	3	11	2	9	3	4	0	3	
66	2	10	2	7	3	2	1	3	
67	0	8	2	8	3	4	2	2	
68	8	14	2	9	2	3	2	1	
69	11	16	2	7	3	2	0	1	
70	10	16	1	5	2	2	0	3	
71	11	16	1	8	2	3	1	1	
72	1	9	1	5	3	2	2	3	
73	9	16	2	9	2	3	1	2	
74	5	12	1	5	3	2	1	1	
75	9	15	2	8	2	2	0	3	
76	1	8	2	8	2	2	2	3	
77	9	14	1	9	2	4	0	2	
78	11	16	1	9	3	2	2	2	
79	8	16	2	5	3	3	0	1	
80	1	7	1	8	2	2	0	3	
81	0	6	1	5	2	4	2	1	
82	7	12	1	7	2	2	1	3	
83	5	12	2	9	2	3	0	1	
84	5	12	1	9	3	2	0	3	
85	6	11	1	6	2	2	0	3	
86	4	9	1	9	2	2	1	1	
87	7	15	1	8	3	2	2	1	
88	4	12	1	6	3	2	0	2	
89	3	10	1	9	3	2	0	2	
90	7	13	2	5	2	4	2	2	
91	1	6	1	6	2	3	2	3	
92	2	8	2	6	2	4	0	2	
93	11	16	2	9	2	2	0	2	
94	5	12	1	5	3	2	1	1	
95	7	15	2	8	3	3	1	2	
96	8	13	1	6	2	2	2	3	
97	10	16	2	9	3	4	1	1	
98	1	6	1	7	2	3	2	2	
99	7	15	2	8	3	3	1	1	
100	3	10	2	7	2	2	1	1	
101	11	16	2	8	3	4	1	3	
102	6	11	1	6	2	4	1	2	
103	5	10	1	9	2	4	0	2	
104	5	12	2	9	2	3	2	1	
105	7	14	2	6	2	2	2	1	
106	3	10	2	6	2	2	2	3	
107	6	12	1	5	2	4	0	3	
108	4	13	2	9	3	3	2	3	
109	3	10	1	7	3	2	2	2	
110	4	10	1	6	2	3	2	1	
111	11	16	2	6	3	2	2	1	
112	3	10	1	9	3	4	2	1	
113	6	13	2	8	2	4	0	1	
114	7	15	1	6	3	4	0	2	
115	11	16	1	7	3	2	2	2	
116	4	10	1	7	2	2	1	2	
117	6	12	1	6	2	4	1	1	
118	3	9	2	9	2	2	0	3	
119	7	14	2	7	2	2	2	3	
120	8	15	2	5	2	4	1	3	
121	1	8	1	8	3	3	2	1	
122	10	16	1	8	2	3	1	3	
123	4	9	1	8	2	4	0	1	
124	7	14	2	8	2	3	0	1	
125	3	8	1	7	2	3	0	1	
126	0	8	2	8	3	3	1	2	
127	0	7	2	6	2	4	1	1	
128	6	12	2	5	2	3	0	2	
129	7	14	2	7	2	3	2	3	
130	9	14	1	8	2	4	1	2	
131	1	6	1	5	2	4	2	1	
132	1	9	2	6	3	3	2	3	
133	1	8	2	5	2	4	1	3	
134	0	7	1	8	3	2	1	2	
135	8	13	1	7	2	4	0	2	
136	8	15	2	7	2	4	0	1	
137	8	15	1	9	3	4	0	1	
138	8	16	2	5	3	2	1	1	
139	3	10	2	6	2	3	2	3	
140	4	13	2	9	3	2	1	2	
141	5	12	1	8	3	2	2	1	
142	0	6	2	5	2	2	1	1	
143	8	15	1	6	3	2	2	3	
144	2	8	2	5	2	4	0	3	
145	11	16	1	9	3	3	2	1	
146	8	15	2	9	2	2	1	1	
147	3	12	2	5	3	4	2	2	
148	2	9	2	6	2	3	0	2	
149	4	12	2	7	3	2	1	2	
150	7	15	2	6	3	2	1	1	
151	2	11	2	5	3	2	2	2	
152	4	11	1	7	3	4	2	2	
153	0	6	1	5	2	4	0	3	
154	1	9	1	7	3	2	0	3	
155	9	16	1	9	3	2	1	1	
156	11	16	1	8	2	4	0	3	
157	0	8	1	6	3	2	2	1	
158	1	8	1	8	3	2	1	3	
159	9	15	2	9	2	4	0	3	
160	5	13	1	6	3	3	0	2	
161	7	14	2	5	2	2	2	3	
162	4	9	1	8	2	2	2	1	
163	3	12	2	5	3	3	2	3	
164	8	13	1	7	2	3	2	1	
165	3	11	2	7	3	3	2	1	
166	9	16	1	5	3	3	0	2	
167	4	9	1	9	2	4	1	1	
end{Tasks}
