begin{nbTrucks}
128
end{nbTrucks}
begin{nbDocks}
26
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
22
end{nbResourcePersonel}
begin{nbResourceEquipment}
7
end{nbResourceEquipment}
begin{nbResourceVehicule}
9
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	8	14	2	6	2	4	1	2	
2	3	10	1	5	3	2	0	2	
3	3	11	2	6	3	4	1	2	
4	1	9	2	8	3	4	1	1	
5	2	10	2	7	3	4	1	1	
6	9	14	1	8	2	3	1	3	
7	5	11	1	9	2	4	1	1	
8	1	9	2	9	3	3	0	3	
9	9	16	2	6	3	2	0	3	
10	6	13	1	8	3	2	1	1	
11	1	8	2	5	2	4	1	3	
12	7	12	1	5	2	4	1	2	
13	1	10	2	8	3	4	0	2	
14	8	13	1	6	2	3	0	3	
15	10	16	2	8	2	4	2	3	
16	11	16	2	9	2	4	2	3	
17	0	7	2	7	2	2	0	3	
18	4	10	2	6	2	4	0	3	
19	3	8	1	9	2	3	0	2	
20	8	15	1	7	3	3	0	1	
21	0	6	1	5	2	3	1	2	
22	8	15	1	8	3	4	1	1	
23	9	15	1	6	2	3	2	3	
24	7	15	2	8	3	3	2	3	
25	4	12	1	9	3	4	0	1	
26	2	9	2	6	2	2	1	1	
27	11	16	2	9	2	2	0	3	
28	5	14	2	9	3	2	1	3	
29	5	13	1	9	3	3	0	3	
30	9	16	1	5	3	2	1	1	
31	7	16	2	8	3	2	0	2	
32	3	12	2	8	3	4	1	1	
33	5	14	2	9	3	4	0	3	
34	1	9	2	9	3	2	1	2	
35	3	9	1	5	2	4	0	3	
36	2	9	2	9	2	4	1	3	
37	10	16	2	6	2	4	0	2	
38	10	16	2	7	3	3	1	3	
39	0	6	2	8	2	3	2	1	
40	8	15	1	7	3	4	1	2	
41	0	8	1	9	3	3	0	1	
42	4	10	2	8	2	4	0	1	
43	10	16	1	7	2	4	1	1	
44	8	16	2	7	3	4	2	3	
45	8	15	1	6	3	2	2	3	
46	8	14	2	8	2	2	2	3	
47	2	11	2	7	3	2	0	1	
48	1	7	1	5	2	4	1	2	
49	10	16	2	9	3	3	2	1	
50	3	11	2	6	3	4	2	3	
51	2	9	2	9	2	2	1	1	
52	5	10	1	5	2	3	0	2	
53	5	13	1	9	3	4	0	1	
54	7	13	1	6	2	3	2	1	
55	9	16	1	5	3	2	2	1	
56	1	7	1	9	2	2	1	2	
57	4	11	1	5	3	3	2	3	
58	4	11	2	5	2	4	2	2	
59	4	11	2	7	2	2	0	1	
60	11	16	1	6	3	2	1	2	
61	5	13	1	7	3	3	0	1	
62	3	10	1	9	3	2	1	3	
63	2	11	2	7	3	2	0	3	
64	2	11	2	9	3	3	0	2	
65	4	13	2	6	3	3	2	3	
66	8	13	1	8	2	2	0	1	
67	11	16	1	9	2	3	0	3	
68	9	15	2	6	2	2	2	2	
69	9	16	2	8	3	2	1	3	
70	3	10	1	9	3	2	2	3	
71	10	16	1	8	3	4	1	2	
72	10	16	1	7	2	2	1	3	
73	9	15	1	6	2	4	2	3	
74	3	12	2	7	3	4	2	2	
75	10	15	1	8	2	3	1	2	
76	1	10	2	7	3	4	1	3	
77	11	16	2	6	3	4	1	3	
78	10	16	2	5	3	3	1	2	
79	10	16	2	9	3	3	2	2	
80	0	7	1	7	3	3	1	2	
81	2	8	2	7	2	4	2	1	
82	6	12	1	8	2	3	0	2	
83	7	14	2	9	2	4	2	3	
84	0	8	1	6	3	4	2	3	
85	0	6	2	9	2	3	2	2	
86	5	13	1	9	3	2	2	1	
87	10	15	1	9	2	2	2	2	
88	8	16	2	9	3	2	0	2	
89	7	13	2	6	2	3	2	1	
90	11	16	2	7	2	4	0	3	
91	1	6	1	6	2	4	2	3	
92	0	7	2	7	2	3	1	1	
93	2	9	1	5	3	2	2	1	
94	9	15	2	8	2	4	1	1	
95	11	16	1	6	3	4	0	2	
96	10	16	1	5	3	3	2	1	
97	11	16	2	6	2	2	2	2	
98	0	5	1	5	2	3	0	1	
99	10	16	2	5	3	4	0	3	
100	9	16	2	8	3	3	1	3	
101	10	16	2	8	2	2	1	3	
102	5	12	2	7	2	4	1	1	
103	3	9	1	6	2	4	0	3	
104	4	13	2	5	3	2	1	1	
105	3	8	1	7	2	4	2	1	
106	5	13	2	6	3	3	2	2	
107	1	7	2	6	2	3	2	1	
108	4	10	1	6	2	4	0	3	
109	1	10	2	7	3	2	0	3	
110	9	16	1	7	3	3	1	3	
111	11	16	2	8	2	2	1	3	
112	10	16	2	7	2	2	1	2	
113	3	10	1	5	3	3	1	3	
114	7	14	1	5	3	4	2	2	
115	5	10	1	6	2	2	1	3	
116	7	13	1	9	2	3	0	3	
117	6	13	2	8	2	2	2	2	
118	9	15	1	8	2	4	0	3	
119	7	13	2	6	2	4	2	1	
120	5	14	2	7	3	3	0	3	
121	9	16	1	9	3	2	2	2	
122	1	9	1	7	3	3	0	1	
123	9	16	2	5	3	2	1	1	
124	4	10	1	7	2	2	1	1	
125	0	8	2	7	3	2	2	2	
126	7	13	1	5	2	2	0	1	
127	6	11	1	6	2	3	2	2	
128	4	11	1	6	3	3	1	3	
end{Tasks}
