begin{nbTrucks}
191
end{nbTrucks}
begin{nbDocks}
42
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
35
end{nbResourcePersonel}
begin{nbResourceEquipment}
11
end{nbResourceEquipment}
begin{nbResourceVehicule}
14
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	4	12	2	6	3	2	2	2	
2	11	16	2	6	3	2	1	3	
3	1	10	2	7	3	3	1	2	
4	11	16	2	7	2	3	1	2	
5	1	10	2	9	3	4	0	1	
6	0	8	2	7	3	3	1	3	
7	4	12	1	5	3	2	2	3	
8	4	13	2	5	3	2	1	3	
9	10	16	1	8	3	2	1	1	
10	3	10	2	9	2	2	2	3	
11	1	10	2	8	3	2	1	2	
12	3	9	2	7	2	4	2	2	
13	0	6	2	9	2	3	1	3	
14	11	16	2	5	2	2	1	2	
15	0	5	1	8	2	2	0	3	
16	4	13	2	6	3	4	2	1	
17	11	16	2	7	3	2	0	3	
18	5	12	1	9	3	3	1	3	
19	11	16	1	6	2	3	0	3	
20	11	16	1	5	3	2	1	2	
21	7	12	1	7	2	2	0	1	
22	1	8	1	6	3	2	2	2	
23	10	16	1	7	3	3	1	2	
24	2	9	1	9	3	4	2	2	
25	0	8	1	8	3	4	1	2	
26	3	10	1	8	3	4	1	2	
27	3	9	2	5	2	4	1	1	
28	7	12	1	7	2	3	0	3	
29	1	8	1	9	3	2	1	1	
30	4	13	2	5	3	2	1	1	
31	1	6	1	9	2	3	1	1	
32	0	8	2	5	3	2	2	1	
33	0	8	1	7	3	2	2	2	
34	7	16	2	8	3	4	2	2	
35	6	12	2	6	2	3	1	3	
36	9	14	1	7	2	3	1	2	
37	2	8	2	6	2	2	2	3	
38	1	7	2	9	2	4	1	2	
39	11	16	1	9	2	4	0	1	
40	9	16	1	5	3	2	2	2	
41	7	15	1	8	3	2	1	1	
42	6	13	2	7	2	2	0	2	
43	1	8	2	8	2	2	1	3	
44	8	16	2	6	3	2	0	2	
45	0	6	2	9	2	2	1	1	
46	9	15	2	9	2	4	1	2	
47	0	6	2	8	2	2	0	2	
48	2	9	1	5	3	4	0	3	
49	10	16	2	6	3	3	2	1	
50	9	16	2	7	3	3	2	1	
51	6	13	2	7	2	4	2	1	
52	9	15	2	8	2	2	1	1	
53	8	15	1	6	3	4	2	1	
54	7	13	1	9	2	2	1	2	
55	5	13	1	5	3	4	2	2	
56	4	12	1	7	3	2	2	2	
57	4	10	2	7	2	2	2	1	
58	6	14	2	5	3	4	0	2	
59	8	16	2	8	3	4	1	3	
60	0	7	2	7	2	2	2	1	
61	8	14	2	5	2	4	0	2	
62	8	15	2	9	2	3	0	3	
63	9	15	2	6	2	4	2	2	
64	9	16	2	7	3	2	0	2	
65	6	13	1	6	3	3	2	2	
66	5	11	1	9	2	3	1	3	
67	1	9	1	7	3	4	2	2	
68	11	16	1	5	2	2	0	2	
69	0	7	2	7	2	4	0	2	
70	0	7	2	6	2	4	1	2	
71	6	12	1	8	2	3	0	3	
72	6	14	1	9	3	3	0	1	
73	7	14	1	6	3	2	0	2	
74	8	14	1	7	2	3	2	3	
75	9	16	1	9	3	3	0	1	
76	5	10	1	9	2	4	1	2	
77	1	10	2	5	3	2	0	1	
78	3	12	2	8	3	3	1	2	
79	8	16	2	5	3	3	1	3	
80	4	11	1	5	3	4	2	2	
81	5	13	2	7	3	4	2	1	
82	7	14	2	7	2	3	1	2	
83	7	13	2	9	2	2	0	2	
84	3	12	2	6	3	2	2	2	
85	2	8	2	5	2	3	0	2	
86	4	12	2	5	3	4	1	2	
87	10	15	1	7	2	2	1	1	
88	9	14	1	6	2	4	2	1	
89	10	16	1	9	3	4	1	2	
90	10	16	2	8	3	2	2	3	
91	8	14	1	8	2	4	1	3	
92	6	13	1	6	3	4	2	3	
93	5	13	2	7	3	4	0	2	
94	5	12	1	5	3	4	0	1	
95	10	16	1	9	3	2	0	2	
96	8	16	2	8	3	2	1	2	
97	6	15	2	6	3	4	1	2	
98	9	15	1	9	2	4	1	1	
99	5	12	2	6	2	4	1	3	
100	6	14	2	9	3	2	1	1	
101	6	14	1	5	3	3	1	3	
102	10	16	2	8	2	2	1	3	
103	0	7	1	5	3	3	1	1	
104	11	16	2	8	3	2	0	2	
105	10	16	1	8	3	4	0	2	
106	5	12	1	5	3	4	2	2	
107	10	16	1	5	3	2	2	1	
108	5	13	2	5	3	4	2	2	
109	3	9	2	6	2	2	1	2	
110	4	11	2	9	2	2	1	1	
111	4	11	2	7	2	4	0	3	
112	4	11	1	8	3	3	0	3	
113	6	11	1	8	2	4	0	3	
114	0	9	2	9	3	4	2	1	
115	2	8	1	8	2	4	0	1	
116	7	13	1	8	2	3	2	2	
117	1	8	1	6	3	3	0	1	
118	10	16	1	8	2	4	0	3	
119	2	11	2	9	3	4	0	3	
120	4	10	2	7	2	2	0	3	
121	7	14	1	6	3	3	1	2	
122	4	12	1	6	3	2	2	3	
123	2	10	2	7	3	2	2	2	
