begin{nbTrucks}
121
end{nbTrucks}
begin{nbDocks}
32
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
27
end{nbResourcePersonel}
begin{nbResourceEquipment}
8
end{nbResourceEquipment}
begin{nbResourceVehicule}
11
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	1	7	2	9	2	4	1	1	
2	3	9	1	7	2	4	1	3	
3	6	14	1	9	3	3	0	2	
4	8	13	1	6	2	4	2	2	
5	0	9	2	5	3	4	1	2	
6	11	16	1	8	2	2	0	2	
7	10	16	2	5	2	3	0	2	
8	10	16	2	7	2	3	0	1	
9	8	16	2	6	3	3	2	3	
10	11	16	2	9	2	2	0	1	
11	7	14	2	5	2	3	0	3	
12	0	7	1	5	3	4	0	1	
13	2	8	1	8	2	3	0	3	
14	4	11	1	9	3	2	0	2	
15	10	15	1	7	2	2	2	3	
16	9	16	1	5	3	3	0	3	
17	4	10	2	7	2	3	1	1	
18	4	9	1	8	2	2	1	1	
19	11	16	2	8	2	4	0	1	
20	11	16	1	7	3	4	2	1	
21	2	11	2	8	3	4	2	1	
22	10	15	1	6	2	2	0	2	
23	4	10	2	5	2	2	1	1	
24	8	16	2	5	3	3	0	2	
25	4	10	2	5	2	3	1	2	
26	9	15	1	5	2	4	2	1	
27	8	16	2	6	3	3	0	3	
28	2	11	2	9	3	4	0	3	
29	11	16	2	5	2	2	0	3	
30	9	14	1	7	2	3	2	2	
31	10	16	2	7	2	2	0	2	
32	9	16	2	9	3	4	2	3	
33	3	10	2	7	2	3	2	1	
34	4	11	1	8	3	3	2	1	
35	2	7	1	9	2	2	1	3	
36	4	12	2	6	3	4	0	3	
37	7	13	2	5	2	4	0	3	
38	2	8	2	6	2	4	2	3	
39	6	12	2	9	2	2	1	3	
40	5	11	2	9	2	3	2	1	
41	9	16	1	7	3	2	2	1	
42	0	6	2	7	2	3	2	3	
43	10	16	2	9	3	4	0	1	
44	0	7	2	7	2	2	1	2	
45	11	16	1	9	3	4	1	1	
46	4	13	2	6	3	4	2	1	
47	11	16	2	9	2	3	2	1	
48	2	9	1	6	3	4	0	2	
49	8	16	2	9	3	2	1	3	
50	8	14	1	8	2	2	2	1	
51	6	11	1	8	2	4	0	1	
52	1	7	1	9	2	3	0	1	
53	3	11	2	7	3	3	2	3	
54	10	16	1	7	2	4	1	1	
55	1	9	1	7	3	2	1	2	
56	6	13	1	8	3	4	1	2	
57	0	9	2	5	3	3	1	2	
58	10	15	1	9	2	3	2	2	
59	2	8	2	6	2	2	0	2	
60	5	13	2	6	3	3	1	1	
61	0	6	1	8	2	3	2	3	
62	6	14	2	5	3	4	2	1	
63	4	12	1	6	3	2	1	1	
64	6	14	1	9	3	4	1	1	
65	9	15	1	7	2	2	2	1	
66	6	11	1	8	2	4	1	2	
67	11	16	2	6	3	2	1	3	
68	11	16	1	5	3	4	0	1	
69	1	9	1	9	3	3	1	1	
70	11	16	2	9	3	3	1	2	
71	6	12	1	7	2	4	2	1	
72	6	13	2	8	2	2	1	2	
73	0	7	1	8	3	4	1	1	
74	4	12	1	6	3	2	0	1	
75	2	7	1	6	2	3	2	1	
76	5	13	1	9	3	3	2	1	
77	0	6	2	7	2	4	1	3	
78	8	13	1	5	2	4	0	3	
79	5	12	2	9	2	2	1	3	
80	11	16	2	9	3	4	1	2	
81	11	16	2	5	3	3	1	2	
82	6	13	2	6	2	4	2	1	
83	9	14	1	7	2	4	0	3	
84	5	11	2	5	2	2	1	2	
85	8	14	1	6	2	4	2	2	
86	4	13	2	8	3	4	0	2	
87	7	13	1	8	2	4	0	1	
88	2	10	1	7	3	2	2	3	
89	9	15	2	6	2	2	1	3	
90	0	9	2	5	3	2	0	3	
91	9	16	2	7	3	2	0	1	
92	6	12	2	8	2	2	0	1	
93	10	16	2	6	2	2	2	2	
94	7	14	1	5	3	2	2	2	
95	2	11	2	5	3	2	2	1	
96	8	13	1	9	2	3	2	3	
97	1	7	2	6	2	4	2	3	
98	2	9	1	9	3	2	0	1	
99	0	7	2	6	2	2	0	2	
100	0	9	2	7	3	2	2	3	
101	3	12	2	9	3	4	2	2	
102	1	8	2	8	2	4	2	1	
103	3	12	2	5	3	2	2	2	
104	8	15	1	7	3	3	0	3	
105	6	14	2	7	3	2	0	3	
106	6	12	1	6	2	3	0	3	
107	6	12	1	8	2	3	0	2	
108	3	10	2	6	2	2	1	2	
109	8	16	2	9	3	2	0	1	
110	11	16	2	9	2	2	1	3	
111	4	11	1	9	3	2	2	3	
112	6	14	1	9	3	2	0	1	
113	9	16	2	9	3	3	2	3	
114	6	14	1	9	3	3	2	1	
115	3	12	2	6	3	4	2	2	
116	10	16	2	9	3	4	2	1	
117	0	6	2	9	2	3	2	1	
118	6	14	2	5	3	4	0	1	
119	5	11	1	8	2	4	2	2	
120	1	8	2	9	2	4	2	2	
121	8	16	1	9	3	2	0	2	
end{Tasks}
