begin{nbTrucks}
141
end{nbTrucks}
begin{nbDocks}
42
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
35
end{nbResourcePersonel}
begin{nbResourceEquipment}
11
end{nbResourceEquipment}
begin{nbResourceVehicule}
14
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	8	16	1	8	3	2	1	1	
2	11	16	1	8	3	3	2	2	
3	9	16	2	9	2	2	0	2	
4	11	16	2	7	3	2	1	3	
5	1	7	2	6	2	3	1	3	
6	1	10	2	8	3	3	1	2	
7	5	11	2	9	2	4	1	1	
8	3	12	2	9	3	2	2	1	
9	1	6	1	5	2	3	0	1	
10	4	12	1	8	3	4	0	2	
11	9	15	1	6	2	2	1	2	
12	5	12	2	6	2	4	1	2	
13	0	5	1	6	2	3	1	1	
14	3	10	2	7	2	4	1	3	
15	7	14	2	6	2	3	0	1	
16	1	9	2	5	3	2	1	2	
17	6	12	1	8	2	2	1	2	
18	11	16	2	8	3	4	1	1	
19	8	14	1	6	2	2	2	2	
20	1	8	1	8	3	3	1	1	
21	11	16	1	8	3	2	0	3	
22	0	8	2	8	3	3	0	2	
23	11	16	1	8	3	3	0	2	
24	11	16	1	9	3	4	1	3	
25	7	12	1	9	2	4	0	3	
26	11	16	1	9	3	3	0	1	
27	11	16	2	6	3	2	2	1	
28	6	14	2	8	3	2	1	3	
29	5	13	1	8	3	2	2	1	
30	6	14	1	9	3	2	1	1	
31	3	8	1	7	2	4	1	2	
32	4	13	2	5	3	4	1	2	
33	4	13	2	5	3	2	0	2	
34	3	9	2	8	2	3	0	2	
35	7	16	2	6	3	3	1	2	
36	10	16	1	7	3	4	2	1	
37	7	15	1	9	3	3	1	2	
38	5	12	1	7	3	2	2	2	
39	8	14	1	7	2	3	2	2	
40	10	16	2	6	2	2	0	3	
41	1	10	2	9	3	4	0	3	
42	4	13	2	6	3	2	0	1	
43	2	10	2	6	3	2	1	3	
44	6	13	1	7	3	4	0	1	
45	10	16	2	5	3	3	1	2	
46	10	16	1	8	2	4	1	1	
47	2	10	1	6	3	4	0	1	
48	8	16	2	6	3	2	1	1	
49	5	11	1	9	2	2	2	1	
50	5	13	1	8	3	3	2	2	
51	3	12	2	7	3	3	2	1	
52	2	7	1	7	2	4	0	2	
53	7	14	2	7	2	3	2	2	
54	1	7	2	5	2	3	1	2	
55	3	12	2	5	3	4	2	2	
56	3	12	2	9	3	3	1	2	
57	6	14	2	5	3	3	1	1	
58	1	10	2	5	3	4	1	2	
59	6	13	2	6	2	2	1	2	
60	7	13	1	6	2	3	2	3	
61	0	5	1	7	2	2	0	3	
62	10	16	2	5	2	2	1	2	
63	10	16	1	5	3	2	0	3	
64	9	16	2	9	3	2	2	3	
65	11	16	1	7	2	4	0	3	
66	10	16	1	8	3	4	1	2	
67	10	16	1	7	3	3	0	1	
68	4	10	1	8	2	4	1	1	
69	8	16	1	6	3	2	1	3	
70	4	9	1	7	2	3	0	2	
71	5	12	1	8	3	4	2	3	
72	2	11	2	6	3	3	0	1	
73	11	16	2	8	3	2	2	3	
74	5	12	2	5	2	4	1	2	
75	4	11	1	7	3	3	2	1	
76	10	16	2	7	2	2	1	2	
77	9	15	2	5	2	4	2	2	
78	2	9	2	6	2	3	0	3	
79	10	16	2	9	3	3	2	1	
80	7	16	2	6	3	2	2	3	
81	2	9	1	5	3	2	2	3	
82	6	12	1	5	2	2	2	2	
83	1	9	1	5	3	2	0	1	
84	11	16	1	6	2	2	2	3	
85	11	16	2	8	3	4	0	1	
86	9	16	2	8	3	4	0	3	
87	7	13	1	9	2	2	1	3	
88	9	16	2	8	2	2	2	3	
89	1	7	2	7	2	3	1	3	
90	7	12	1	5	2	4	2	3	
91	0	6	1	7	2	2	1	3	
92	5	13	1	6	3	4	0	1	
93	3	12	2	5	3	3	2	3	
94	0	5	1	7	2	2	2	3	
95	6	12	1	8	2	2	0	1	
96	3	9	2	6	2	3	2	2	
97	10	16	2	9	3	4	0	2	
98	8	16	1	7	3	2	2	2	
99	8	15	2	9	2	2	2	2	
100	9	16	2	6	2	3	2	1	
101	5	13	2	5	3	4	0	1	
102	9	16	2	7	2	3	0	3	
103	0	8	1	8	3	3	1	3	
104	7	14	2	8	2	2	2	1	
105	6	12	1	6	2	4	2	3	
106	1	9	2	9	3	3	1	1	
107	3	10	2	9	2	3	0	1	
108	9	16	1	8	3	2	1	2	
109	11	16	2	5	2	3	1	1	
110	1	7	2	6	2	3	2	3	
111	2	10	2	5	3	3	0	3	
112	4	12	1	5	3	2	2	2	
113	1	8	1	9	3	4	1	1	
114	10	16	2	7	2	2	1	3	
115	2	9	1	5	3	4	1	3	
116	8	16	1	7	3	2	1	1	
117	4	11	2	8	2	3	0	1	
118	1	8	2	6	2	3	2	2	
119	11	16	2	7	2	2	0	1	
120	0	5	1	8	2	2	0	1	
121	5	12	1	8	3	4	1	3	
122	1	9	2	9	3	4	1	1	
123	10	16	1	7	3	2	1	2	
124	11	16	2	6	2	3	2	3	
125	5	11	2	5	2	3	2	2	
126	7	15	2	8	3	4	2	1	
127	0	8	2	5	3	4	1	2	
128	5	11	1	8	2	4	0	3	
129	9	16	1	8	3	3	2	2	
130	1	7	1	7	2	4	2	3	
131	8	16	1	6	3	4	2	1	
132	2	10	1	6	3	4	2	1	
133	8	16	2	8	3	2	1	2	
134	7	15	1	5	3	3	2	3	
135	0	8	1	7	3	2	0	1	
136	2	9	1	7	3	2	1	1	
137	6	12	1	8	2	3	2	2	
138	5	14	2	5	3	2	0	2	
139	2	9	1	8	3	4	1	2	
140	0	6	1	7	2	4	2	2	
141	7	14	2	9	2	3	2	2	
end{Tasks}
