begin{nbTrucks}
167
end{nbTrucks}
begin{nbDocks}
34
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
29
end{nbResourcePersonel}
begin{nbResourceEquipment}
9
end{nbResourceEquipment}
begin{nbResourceVehicule}
12
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	3	10	2	5	2	4	2	1	
2	11	16	2	9	3	3	1	1	
3	9	16	2	5	3	4	1	1	
4	8	13	1	7	2	3	1	3	
5	1	9	2	6	3	2	1	3	
6	1	6	1	6	2	4	2	3	
7	7	13	1	6	2	3	2	2	
8	6	13	2	7	2	2	1	3	
9	10	16	2	6	2	2	0	3	
10	1	7	2	9	2	4	1	1	
11	5	13	2	7	3	2	1	1	
12	7	15	2	9	3	4	1	3	
13	5	13	2	8	3	2	2	2	
14	2	8	2	5	2	4	2	1	
15	1	6	1	8	2	4	1	2	
16	3	9	1	9	2	3	0	3	
17	8	15	2	7	2	4	2	2	
18	9	16	2	9	2	2	2	3	
19	0	8	1	8	3	4	2	3	
20	1	9	2	7	3	2	2	1	
21	9	16	2	6	3	4	0	3	
22	6	13	2	8	2	4	0	1	
23	4	12	2	5	3	4	0	2	
24	1	9	1	7	3	2	1	2	
25	5	14	2	6	3	4	2	3	
26	5	11	2	9	2	3	1	1	
27	5	13	2	8	3	3	0	3	
28	5	14	2	9	3	3	2	1	
29	11	16	2	7	3	4	1	2	
30	11	16	1	8	3	3	1	3	
31	8	16	2	9	3	2	0	3	
32	9	16	1	8	3	2	1	2	
33	4	9	1	8	2	2	1	2	
34	5	13	2	9	3	3	0	1	
35	8	13	1	5	2	2	0	1	
36	3	9	2	7	2	3	0	3	
37	3	10	2	8	2	3	1	2	
38	3	11	2	8	3	2	1	3	
39	0	6	1	8	2	3	1	1	
40	3	9	2	8	2	2	1	3	
41	9	16	2	8	3	2	1	2	
42	0	9	2	7	3	4	2	1	
43	6	13	2	6	2	4	0	2	
44	0	8	2	5	3	4	0	1	
45	9	14	1	5	2	4	1	3	
46	2	8	1	5	2	3	0	1	
47	7	16	2	6	3	3	1	1	
48	10	16	1	8	3	4	1	3	
49	11	16	1	8	2	4	0	1	
50	11	16	2	7	3	4	1	2	
51	6	12	2	8	2	2	1	1	
52	2	9	2	9	2	2	1	2	
53	8	15	1	8	3	2	1	3	
54	6	11	1	5	2	2	2	2	
55	1	8	2	6	2	3	0	3	
56	4	12	2	9	3	3	2	1	
57	3	8	1	6	2	4	1	2	
58	7	15	2	7	3	3	2	1	
59	2	11	2	8	3	3	1	2	
60	7	13	1	9	2	2	1	3	
61	2	8	2	6	2	4	2	3	
62	2	9	2	9	2	4	2	3	
63	11	16	2	8	2	2	0	3	
64	9	16	2	8	3	4	0	2	
65	8	16	2	5	3	4	0	3	
66	4	9	1	5	2	3	0	3	
67	1	7	2	5	2	4	0	3	
68	1	9	1	6	3	4	2	1	
69	9	14	1	8	2	2	1	1	
70	9	16	2	7	3	4	0	1	
71	7	12	1	7	2	2	1	3	
72	3	10	2	8	2	4	0	3	
73	6	13	1	6	3	4	1	2	
74	6	14	1	8	3	2	0	3	
